,user,text,created_at,retweet_count,reply_count,like_count,quote_count
16,⇨ S彡U /╲/\∀Rｴd⊙,"RT @jmdocesifood: #barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara…",2022-04-02 11:46:06+00:00,1,0,0,0
17,M@ur0 V.,"Cheguei em casa 2 horas da manhã pedi ifood e dormi, acordei 5 com fome",2022-04-02 11:45:47+00:00,0,1,1,0
18,Daniel,"RT @thassius: Interessante reportagem sobre a hegemonia do iFood no campo das entregas de comida.

O app detém:

- Enorme participação (83%…",2022-04-02 11:44:19+00:00,3,0,0,0
19,King of grau,"RT @jmdocesifood: #barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara…",2022-04-02 11:44:05+00:00,1,0,0,0
20,Alisson,"RT @jmdocesifood: #barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara…",2022-04-02 11:42:05+00:00,1,0,0,0
21,Thássius Veloso,"RT @jmdocesifood: #barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara…",2022-04-02 11:40:04+00:00,1,0,0,0
22,Giovana,"Eu queira um pãozinho de queijo,  mas o ifood não aceita meu V.A 😔",2022-04-02 11:39:03+00:00,0,0,1,0
23,Tecnoblog,"...então que toquem a vinheta:
- Ifood! https://t.co/sR2Y4Et7EK",2022-04-02 11:38:25+00:00,0,0,0,0
24,poeteira ツ,"RT @jmdocesifood: #barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara…",2022-04-02 11:36:07+00:00,1,0,0,0
25,Belmiro Moreira,Ifood hj só de jet ski,2022-04-02 11:35:33+00:00,0,0,1,0
26,JuniorNew13🧔🏻🚩,"RT @jmdocesifood: #barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara…",2022-04-02 11:34:07+00:00,1,0,0,0
27,K🐆✨,"Ontem deu tudo errado:
Resolvi segurar até 22:20;
Perdi o busão que chega 22:30;
Busão atrasou;
Tava levando meu Monster de Cereja no bolso de lado da Mochila e chegando em casa ele não tava mais lá;
E por fim, o lanche que pedi pelo Ifood no caminho cancelou.

Cara de sorte ☘️",2022-04-02 11:34:04+00:00,0,1,0,0
28,João,"@Paulojeff_b @RenanPeixoto_ Nao é esse o ponto. Eles estav dormindo np horario de trabalho, ganhando, e muito, do nosso dinheiro. Se nao consegue trabalhar as horas contratadas que nao aceite trabalhar. Do jeito que tu fala parece que medico é entregador de ifood, ta se fudendo pra ganhar 10 reais",2022-04-02 11:33:51+00:00,0,1,2,0
29,felipe,"RT @jmdocesifood: #barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara…",2022-04-02 11:32:06+00:00,1,0,0,0
30,jm doces ifood,"O bem venceu, agora tem ifood em Ubajara",2022-04-02 11:31:35+00:00,0,0,0,0
31,gilberto,RT @NicoleMaya18: Amores lembram do entregador carioca do ifood?já que hoje é  dia de #TBT vou relembrar e mostrar um pouco mais pra vcs.…,2022-04-02 11:31:08+00:00,60,0,0,0
32,André DM 🏳️‍🌈🎮 #GTAV,"Interessante reportagem sobre a hegemonia do iFood no campo das entregas de comida.

O app detém:

- Enorme participação (83%)
- Contratos de exclusividade draconianos
- Apetite por outros negócios (seria venda casada?)

Vale ler a resposta da empresa.

https://t.co/6ZfFdNXgnF",2022-04-02 11:30:49+00:00,3,3,31,5
33,Pensando Regulação,"RT @jmdocesifood: #barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara…",2022-04-02 11:30:06+00:00,1,0,0,0
34,marina,"RT @jmdocesifood: #barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara…",2022-04-02 11:28:05+00:00,1,0,0,0
35,nini ୨୧ | back on track!,Pq vcs não conhecem o do gestor de pedidos do ifood https://t.co/V9CCnrCpXA,2022-04-02 11:27:25+00:00,0,0,0,0
36,JCosta🔴⚫,App para autônomos de Uber e iFood tem “câmera secreta” que grava corridas #valeapenaler https://t.co/jzR8kjNiGl,2022-04-02 11:27:12+00:00,0,0,9,0
37,Microanalysis Consultoria Econômica,Com o Andreas presente temos a garantia de ifood em campo. https://t.co/tahYWzMNuD,2022-04-02 11:27:06+00:00,0,0,0,0
38,Juliana Guapo,IFood não tem uma loja de hambúrguer aberta agora. 🥺,2022-04-02 11:26:51+00:00,0,1,1,0
39,Albaney Baylão #Fora Bolsonaro#,"RT @jmdocesifood: #barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara…",2022-04-02 11:26:05+00:00,1,0,0,0
40,Wander Valero,"RT @CUT_Brasil: Entregadores e motoristas que prestam serviços para o iFood, Rappi, Uber e 99 em São Paulo, Rio de Janeiro, Minas Gerais, G…",2022-04-02 11:25:48+00:00,22,0,0,0
41,ebs,"RT @jmdocesifood: #barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara…",2022-04-02 11:24:05+00:00,1,0,0,0
42,Paulo Darcy Arcoverde,"RT @galodeluta: A @ifood deu o aumento hj de 1,50 km e mais a promoção de 3 reais a mais por pedido e a greve na rua não teve aderência os…",2022-04-02 11:23:44+00:00,36,0,0,0
43,line,"RT @jmdocesifood: #barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara…",2022-04-02 11:22:04+00:00,1,0,0,0
44,gabinha,"Mania feia desses homens de hoje em dia “vem me ver” “vem aqui em casa” ih vai pro caralho, delivery so no ifood meu parceiro 👍🏻",2022-04-02 11:21:48+00:00,1,0,0,0
45,UOL,"RT @jmdocesifood: #barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara…",2022-04-02 11:20:04+00:00,1,0,0,0
46,luanta,"Quando eu peço e esta chovendo, sempre mando uma boa gorjeta. Quanto aos clientes, a maioria ta nem ai…ontem o Ifood fechou minha loja por conta da chuva e cliente ligando chamando motoboy de vagabundo 🤷‍♂️ https://t.co/CGaz6pf7hK",2022-04-02 11:19:46+00:00,0,0,2,0
47,Mário Rambaldi,"RT @jmdocesifood: #barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara…",2022-04-02 11:18:03+00:00,1,0,0,0
48,✠ Camila Telles ✠,"@UOL Ifood é um absurdo, a empresa não produz nada, toma dos restaurantes, toma dos entregadores, ferra com o preço final, pq as taxas vão para o colo do consumidor. Mais uma das bizarrices do sistema.",2022-04-02 11:18:00+00:00,0,0,0,0
49,jm doces ifood,"#barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara! Use o ícone de coração no app pra salvar https://t.co/zDsZBe3T9e",2022-04-02 10:36:24+00:00,1,0,1,0
50,dracrazy,"#barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara! Use o ícone de coração no app pra salvar https://t.co/fCicEJwjIv",2022-04-02 10:36:13+00:00,1,0,1,0
51,Regina da Costa e Silva 🇧🇷💻📸,a melhor coisa de chegar no trabalho é decidir oq eu vou almocar hoje rolando pelo ifood,2022-04-02 10:36:05+00:00,0,0,0,0
52,Yuri Lopardi,"#barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara! Use o ícone de coração no app pra salvar https://t.co/7EHEgEp0iJ",2022-04-02 10:35:56+00:00,1,0,1,0
53,Kazumagician 🧙‍♂️,"#barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara! Use o ícone de coração no app pra salvar https://t.co/fdsD4RZoII",2022-04-02 10:35:43+00:00,1,0,1,0
54,AleFla,"#barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara! Use o ícone de coração no app pra salvar https://t.co/Yj89y5iKys",2022-04-02 10:35:32+00:00,1,0,1,0
55,Letícia,"#barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara! Use o ícone de coração no app pra salvar https://t.co/kCXYNOhFMr",2022-04-02 10:35:17+00:00,1,0,1,0
56,UOL Notícias,"#barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara! Use o ícone de coração no app pra salvar https://t.co/1Ge5PPiOTg",2022-04-02 10:35:08+00:00,1,0,1,0
57,Adriana,"RT @UOLNoticias: iFood ficou tão grande que afeta concorrência e clientes, dizem analistas https://t.co/RGD4j7zmIW",2022-04-02 10:29:38+00:00,3,0,0,0
58,Márcia Moraes RJ,"RT @brasil247: iFood tenta esvaziar greve de entregadores, que é mantida parcialmente

https://t.co/3M23MmplcE",2022-04-02 10:21:53+00:00,9,0,0,0
59,Júnior,"@iFood fiz um pedido no app de vocês ontem e simplesmente não chegou aqui em casa, pedi o cancelamento e não foi cancelado, e hoje está mostrando que foi entregue, não chegou nada aqui em casa e o restaurante não me responde, será que dá pra resolver?",2022-04-02 10:21:33+00:00,0,0,0,0
60,Fracasso do MK11,"E não adianta chorar, marmita de paneleiro sim, tem Tiago Maia e ele com tesão no Arão. Hoje não vai de Arão, mas vai do fraquíssimo Andreas Ifood, tem Cleiton e inventa GH e LP. Tem Mateuzinho mas rola sentimento dele pelo Tiririca bronzeado, tem Lázaro e ele adora E.Ribeiro.",2022-04-02 10:19:51+00:00,0,1,1,0
61,dinoca,"IFood arrasou, sem taxa de entrega ainda",2022-04-02 10:14:12+00:00,0,0,0,0
62,TONHÃO,"iFood ficou tão grande que afeta concorrência e clientes, dizem analistas https://t.co/RGD4j7zmIW",2022-04-02 10:11:04+00:00,3,2,8,0
63,@Ademilson Santos ferreira10952565453545@gmail.com,"RT @LelioCalhau: iFood ficou tão grande que afeta concorrência e clientes, dizem analistas https://t.co/T4jKMSAR0I via @UOLEconomia @UOL",2022-04-02 10:00:48+00:00,1,0,0,0
64,Pedro Ozório,"@Sidney8383 Existe carência no mercado para ser consultor no ifood , as pessoas que querem entrar não sabem criar sua pagina lá, é um opção de fonte de renda.",2022-04-02 09:57:50+00:00,0,0,1,0
65,Lélio Braga Calhau,@alex_rangel_br Só não pode colocar tudo isso a perder comprando o Adreas iFood por 60 mi,2022-04-02 09:54:13+00:00,0,0,0,0
66,JONES,"@iFood fiz um pedido ontem, o pedido se atrasou fui entrar em contato com o restaurante e o mesmo estava fechado tentei cancelar não consegui, e agora tá aparecendo como se o pedido tivesse sido entregue, me cobraram por algo que nem foi entregue",2022-04-02 09:53:18+00:00,0,0,1,0
67,Níckolas Da Silva (nawarian),@crtinxj qr ifood? tô pagando kkkkkk,2022-04-02 09:50:05+00:00,0,1,0,0
68,𝓘 sa⁷🍷 prod by suga,"@maisumasep @iFood Esses dias, fiz uma compra no site (app) da @submarino de 3 livros que queria, além disso me cobraram 6x o valor dos livros que queria comprar, acabei cancelando 2 deles, e apenas 1 deles acabou chegando em casa",2022-04-02 09:48:38+00:00,0,0,0,0
69,Zé Das Couves,"RT @seara_brasil: @Ademils38967870 Seu like foi PREMIADO! 🧡 
Agora você vai poder levar sabor em dose tripla para casa com a #SalsichaHotDo…",2022-04-02 09:43:05+00:00,1,0,0,0
70,galdino 🇵🇸 |,Esse povo só pode tá caçando jeito de acabar com o ifood https://t.co/Fxd7rP2hAT,2022-04-02 09:40:44+00:00,0,0,0,0
71,KIOMI,"iFood ficou tão grande que afeta concorrência e clientes, dizem analistas https://t.co/T4jKMSAR0I via @UOLEconomia @UOL",2022-04-02 09:34:51+00:00,1,0,2,0
72,Mateus Mattos,"@SoTiag0 @samusasm @Urubudailha GH estava no aquecimento junto com o entregador de ifood, foi escolha do ps colocar o l.pereira!",2022-04-02 09:27:33+00:00,0,1,0,0
73,Flamengo de Aço,"RT @galodeluta: A @ifood deu o aumento da taxa hoje de 1,50 por km mais promoção de 3 reais por entrega até às 13:59 e os entregadores pref…",2022-04-02 09:10:01+00:00,141,0,0,0
74,Annie ✨ pity 49,vou pedir pão e mortadela pelo ifood quem amou?,2022-04-02 09:05:04+00:00,0,0,0,0
75,Cupom de desconto e promoções 2022,@fntremr1 @FilipeRet @iFood Força aí no corre!,2022-04-02 09:01:21+00:00,0,0,1,0
76,Cupom de desconto 2022,@andersonr404 @CHRISTIANNASC10 @FilipeRet Outro trouxa que achou que trabalhador de uber e ifood era empreendedor e que reforma trabalhista gera mais empregos.,2022-04-02 08:52:56+00:00,0,0,0,0
77,livya!!,"RT @kasainvisivel: OITO SHOPPINGS BRECADOS EM BELO HORIZONTE
HOJE NINGUÉM PEDE IFOOD 

#BrequeDosAPPs #apagaodosapps https://t.co/bTc8DVgmNd",2022-04-02 08:49:12+00:00,36,0,0,0
78,Felipe Fagundes,"@ranimaney @jaovninguem @DaviPimentel9 @Trovaodevelludo @FilipeRet Defende vc ficar de quatro trabalhando enquanto leva jeba do patrão.
Ancap é tudo um bando de merda que nunca trabalhou na vida. 
Acha que dirigir uber ou entregar ifood é empreendedorismo. Tem que levar muita coça de gato morto até o gato miar.
Cadelinha de patrão.",2022-04-02 08:47:58+00:00,0,0,0,0
79,Lívia,RT @PortalBrunna: Quando a Brunna ficou responsável por pedir comida e não parava de chegar ifood no quarto  https://t.co/060Ing2hjW,2022-04-02 08:41:05+00:00,9,0,0,0
80,Brasil de Fato RN,"@SlyCorbie @iFood Botaram um animal pra me atender. Entrei no reclame aqui. Nem é pelo dinheiro, mas por sacanagem do restaurante mesmo e agora do ifood também https://t.co/WLTPtM18J5",2022-04-02 08:17:38+00:00,0,0,0,0
81,Data Security,"@RockyFLA Quando o PABLO estiver 100% ele será o zagueiro p esquerda. 
Essa VELHA DO PICA PAU será RESERVA, por isso q deu chilique n entrevista. 
PRATO DE MICROONDAS
VELHA DO PICA PAU
DIEGO ALFACEIRO ALVES
ISLA BOI MANSO
ENTREGADOR DE IFOOD

Quem há 1 ano atrás imaginava eles no banco?",2022-04-02 08:05:56+00:00,0,1,0,0
82,MTRD7️⃣🃏🏌️,"@beatrizbarban @McDonalds_BR Brincadeiras a parte eu acho que é algo local :( porque aqui eu tenho a opção de tirar no ifood e sempre tive. Mas se tem algo que eu sei sobre o mc é que os funcionários não são mt legais, então toma cuidado quando for pedir pra tirar algo rs.",2022-04-02 08:00:25+00:00,0,0,1,0
83,UOL Economia,"CUPOM DE DESCONTO 01/04/2022
IFOOD – use o código KYFRYM8VTS e ganhe R$15 em seu 1º pedido em supermercados e restaurantes. https://t.co/qGf6VuVWTz",2022-04-02 07:50:09+00:00,0,0,0,0
84,b,"CUPOM DE DESCONTO 01/04/2022
IFOOD – use o código KYFRYM8VTS e ganhe R$15 em seu 1º pedido em supermercados e restaurantes. https://t.co/4T8JL5qvhX",2022-04-02 07:50:09+00:00,0,0,0,0
85,Cassandra,eu ainda liguei antes de preparar o pedido confirmei tudo que tava no ifood a mulher falou que era isso mesmo e nada de falar que era sem pimenta,2022-04-02 07:47:16+00:00,0,1,0,0
86,T.✨,pq as pessoas nao me deixam jantar em PAZ pelo amor de deus eu tava comendo numa paz o cara liga reclamando que a baiana foi com pimenta e ele tinha feito uma observação no ifood que era sem ele fez uma observação pros encostos dele que pra mim nao foi,2022-04-02 07:47:16+00:00,0,1,0,0
87,Pontes,"Só esperando a reclamação no ifood.
Essa sexta foi tensa, todos os setores tiveram imprevistos, e eu simplesmente travo tentando resolver tudo.
É foda, nota 4.9 tá top, mas hoje vai baixar.",2022-04-02 07:45:52+00:00,0,1,0,0
88,irlandesa,"@peresleocrf @iFood Sp, mais precisamente abc paulista",2022-04-02 07:24:44+00:00,0,0,0,0
89,Diaba 😈,"brasildefato: Quem é entregador do iFood em São Paulo recebeu o aviso no aplicativo de manhã. No dia escolhido como dia de mobilização da categoria, a empresa ofereceu uma promoção de R$ 3 a mais por corrida no almoço.  

“Eles jogam sujo”, diz um entreg… https://t.co/gd4jJ7fT6y",2022-04-02 07:18:51+00:00,0,0,1,0
90,thalles,"brasildefato: Em dia de greve, iFood paga extra de R$3 por corrida e antecipa reajuste: “querem desmobilizar"" https://t.co/p7LBzmsHfR",2022-04-02 07:18:48+00:00,0,0,0,0
91,Tifinco firme,"iFood ficou t?o grande que afeta concorr?ncia e clientes, dizem analistas https://t.co/VO4dOcIgQy",2022-04-02 07:11:03+00:00,0,0,0,0
92,Caroline,Ifood que me aguarde kkkkk prejuízo vai ser grande vai vsfd seus otário almoço grátis durante uma semana é garantindo 🤣🤣🤣🤣,2022-04-02 07:07:24+00:00,0,0,0,0
93,luisrlq soca fofo 🌹🇧🇷,"iFood ficou tão grande que afeta concorrência e clientes, dizem analistas https://t.co/2UgGFnoYBg",2022-04-02 07:04:57+00:00,1,0,2,0
94,Renan Costa,@he3itor virei entregadora de ifood agora é,2022-04-02 07:04:44+00:00,0,0,0,0
95,EVAngelica,"Olha só essa promo do iFood! São R$ 1.500 por mês por um ano pra pedir no app. Bora concorrer?

https://t.co/eWhavxeAUn",2022-04-02 06:59:35+00:00,0,0,0,0
96,Wilker,@laacerda22 sabe q essas coisas é invenção deles né kkkkkk por mim a gente pedia no ifood 🤣🤣,2022-04-02 06:50:06+00:00,0,1,1,0
97,Mestre das Pizzas,2 h de atraso pra entregar um pedido do @iFood  👏🏽👏🏽👏🏽👏🏽👏🏽 serviço pessimo como sempre,2022-04-02 06:40:52+00:00,0,2,0,0
98,Wasp 🇺🇦,"Sim, ansiedade segue batendo fortão as vezes e eu desconto em comida.. única diferença é q ao invés de iFood ou uma barra de chocolate, é uva e pocã 🤝",2022-04-02 06:37:21+00:00,0,0,0,0
99,Cleber Rios,Ifood hoje em dia tá uma merda … 😴,2022-04-02 06:36:37+00:00,0,0,0,0
100,Nahuel,"Peguei caríssimo num podrão aqui pra me satisfazer, se for ruim reclamo no ifood sem do",2022-04-02 06:36:21+00:00,0,0,1,0
101,•,@maathez1n @centraldanacao Thiago maia mil bzs melhor que esse ifood nato ai,2022-04-02 06:30:25+00:00,0,1,1,0
102,guilherme,"Sério, será q esse negócio do meu ifood não funcionar no meu celular é meio que uma autoajuda ou só sacanagem do universo",2022-04-02 06:22:30+00:00,0,0,0,0
103,Breno Bermudez,@tamiresxis e o ifood pra nós?,2022-04-02 06:22:10+00:00,0,1,0,0
104,Biodiversus,@maryscr_ manda um ifood pra mim s ou n?,2022-04-02 06:19:28+00:00,0,1,0,0
105,Cami do Vigor,"@Theus_Luz Tá maluco 
Thiago Maia e João Gomes
Esquece essa praga do ifood.",2022-04-02 06:15:37+00:00,0,0,0,0
106,justlooking,"Sério, sanzio é eu não temos sorte com @ifood, pedimos o lanche, chegou com atraso de + d 1h, a gnt morrendo d fome, querendo dormir, aí o lanche chega GELADO E ERRADO. Vlw dms viu @iFood",2022-04-02 06:15:15+00:00,0,0,0,0
107,Bio Localização,"O Ifood não presta mais. É mais vantajoso ligar pro estabelecimento e pedir. Meu amigo, uma Coca de lata custar R$ 8,50? Tá de sacanagem? De 2 litros custando R$ 17,00. Não dá. Inacreditável.",2022-04-02 06:07:03+00:00,0,0,0,0
108,𝑃𝑎𝑚𝑒𝑙𝑙𝑎,Montando Pizza De Calabresa Com Borda Recheada De Chocolate | Forno Bonari Sua Pizza Em Dois Minutos https://t.co/BYM7f3FiXo,2022-04-02 05:55:50+00:00,0,0,0,0
109,Bigodin Finin,"CUPOM DE DESCONTO 01/04/2022
IFOOD – use o código KYFRYM8VTS e ganhe R$15 em seu 1º pedido em supermercados e restaurantes. https://t.co/TEkUWso0kF",2022-04-02 05:55:05+00:00,0,0,0,0
110,Julya ᶜʳᵛᵍ ✠,"CUPOM DE DESCONTO 01/04/2022
IFOOD – use o código KYFRYM8VTS e ganhe R$15 em seu 1º pedido em supermercados e restaurantes. https://t.co/qFr6Xm8orw",2022-04-02 05:55:05+00:00,0,0,0,0
111,filipe,"Enredo pra um filme de terror. Vc tá andando na rua de dia msm, aparece um FANTASMA EM CIMA DE UMA MOTO COM UM MOCHILA DO IFOOD. ELE COMEÇA A PARAR AO TE VER. LOGO ATRÁS VEM OUTRO FANTASMA EM CIMA DE OUTRA CG125.",2022-04-02 05:42:35+00:00,0,0,3,0
112,Loucura com doideira,RT @1Entediado: Empresas como uber/99/ifood estão fazendo as pessoas terem que passar dos seus limites para conseguirem pagar as contas no…,2022-04-02 05:34:27+00:00,71,0,0,0
113,nomi,Meia hora procurando um lanche/hamburguer pra comer que me agrade no ifood e com certeza vou acabar pedindo do mesmo lugar de sempre pq vou acabar demorando mais e as coisas vão fechar,2022-04-02 05:32:51+00:00,0,1,0,0
114,sucuri bala,@Larissa99Soares Nem no ifood está entregando 😒😒🤬,2022-04-02 05:24:20+00:00,0,0,1,0
115,Jorge,uma hora dessas eu pedindo lanche no ifood,2022-04-02 05:22:50+00:00,0,0,0,0
116,gb,"Fiz um pedido no @iFood as 22:00 e só chegou agora. Mesmo após solicitar o cancelamento, só recebi pelo entregador que não tem nada a ver com o restaurante. Pedido horrível, frio, murcho. Péssima compra @iFood ajuda aqui.",2022-04-02 05:22:30+00:00,0,0,1,0
117,𝗁𝖺𝗇𝗇𝖺.,@BetoLuiz_RU @galodeluta @iFood @fabloisi Claro que tem! Eu já andei em um!,2022-04-02 05:18:14+00:00,0,0,0,0
118,Bozena de Pato Branco,"02:16 e eu aqui no Twitter, com fome pq o ifood está atrasado desde meia noite",2022-04-02 05:17:29+00:00,0,0,0,0
119,liv,"@BetoLuiz_RU @galodeluta @iFood @fabloisi Existem vários apps desses sendo usados em cidades pequenas, onde o funcionário ganha mais e o cliente conhece o funcionário, por isso se importa. Não dá a mínima pro app ser de ""primeira linha"" ou não. Me dá uma bolsa que eu pesquiso! Quantos vc conhece?",2022-04-02 05:17:11+00:00,0,0,0,0
120,elicê,"RT @phallustv: 🔥 Entregador do ifood pegando meu cucetao com pegada e tesão!
👉 https://t.co/Pjr4pS10Z6 https://t.co/QjXctJHtYL",2022-04-02 05:16:01+00:00,7,0,0,0
121,léo,@biodiversus @galodeluta @iFood @fabloisi Você não é o primeiro a vir aqui cobrar apoio a um aplicativos que não tem clientes,2022-04-02 05:15:13+00:00,0,1,0,0
122,duda zine,"Vontade de comer um lanche, mas tudo fechado, nem ifood salvando af",2022-04-02 05:13:18+00:00,0,0,0,0
123,isa HARRY’S HOUSE🏠,iFood bugado mais salvou o rango milagroso da madrugada pra ver One Piece .,2022-04-02 05:12:55+00:00,0,0,0,0
124,MΛЯIΛ 🍃,"Ifood tá de graça cmg, pqppp",2022-04-02 05:11:03+00:00,0,0,0,0
125,🗯,@BetoLuiz_RU @galodeluta @iFood @fabloisi Dê um exemplo.,2022-04-02 05:10:59+00:00,0,1,0,0
126,J.Lee Aguiar 🏴⚡,"@biodiversus @galodeluta @iFood @fabloisi Procure quantos desses apps municipais/regionais já estão funcionam, procure quantos restaurantes já usam esses aplicativos, pergunte quantos usuários já usam esses aplicativos todos os dias!

Ai você vai saber a resposta da pergunta!",2022-04-02 05:10:21+00:00,0,1,0,0
