id,user,user_id,text,created_at,retweet_count,reply_count,like_count,quote_count
24,terrorista del amor,1259804182254702592,"RT @jmdocesifood: #barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara…",2022-04-15 13:58:18+00:00,1,0,0,0
25,Gerard Whey,3173424405,nem tomei cafe da manha ainda e ja to pensando no que vou pedir de ifood hj,2022-04-15 13:57:54+00:00,0,0,0,0
26,eu odeio futebol,900021956413722624,O motorista do ifood dando grau eu já vi https://t.co/SFfaUflj9a,2022-04-15 13:57:49+00:00,0,0,5,0
27,C a m i l a 🐊,889692959276503041,"@rafaeh_ Oooooh, entendo hahahaha
Hoje eu vou ter que apelar pra ifood, prq não tá fácil hahaha 
Em segmento, é? Já estou ansiosa hahahha",2022-04-15 13:57:24+00:00,0,0,0,0
28,Bru 🦋,2489107969,"RT @jmdocesifood: #barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara…",2022-04-15 13:56:17+00:00,1,0,0,0
29,thales,1432715235983515651,"Ontem pedi um dogao e uma porção de sticks de queijo, e a hamburgueria mandou só um hamburguer. Reclamei no ifood e eles me deixaram c o hamburguer e mandaram o dogao, a porção y ainda me reembolsaram 🤰🏽",2022-04-15 13:56:16+00:00,0,0,1,0
30,Jeezus,2254226139,"@ste_ramalho Eu já pedi salada em restaurante assim no ifood por aqui tb, mas eu não consigo pedir mais vezes pq acho muito caro kkkkkk, eu compro as folhas e verduras, faço uma igual e sai bem mais barato",2022-04-15 13:56:04+00:00,0,1,0,0
31,baluarte da moderação e da democracia,119913703,"@kahrinya Maravilhosa, dá até pra pedir coisa no ifood se quisesse jaksjakdjr",2022-04-15 13:55:45+00:00,0,1,0,0
32,JEAN LUCCA,3309615855,"Eu e o Gian combinamos de NÃO gastar dando chocolate um p outro e dividirmos o que ganhamos, aí do nada chega um ifood no meu serviço com BRUNA TRUFAS esse cara não existe",2022-04-15 13:55:23+00:00,0,0,2,0
33,Nathalia Almeida 🧬,34520072,bom que com plataformas como o ifood o otario e o malandro não precisam nem sair na rua para se encontrarem https://t.co/0qQ1lArR0E,2022-04-15 13:55:05+00:00,0,0,1,0
34,Val,1024138905011019778,KKKKKKKKKKK COE EU PEDI UM DIXAVADOR PELO IFOOD E OS CARA MANDARAM A SEDA KKKKKK AMEI OS CARA,2022-04-15 13:54:25+00:00,0,0,0,0
35,Diego,59179830,"RT @jmdocesifood: #barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara…",2022-04-15 13:54:17+00:00,1,0,0,0
36,...,882952186581458945,"RT @tonsdemim: ⚖️ Decisão inédita no Brasil:

Juíza do Trabalho do TRT 5 (Bahia) determinou que o iFood pague salários a um entregador, até…",2022-04-15 13:53:08+00:00,286,0,0,0
37,Blog do Adriano Luiz,997683390144024576,Paciência nenhum com o suporte do ifood,2022-04-15 13:51:35+00:00,0,0,0,0
38,Nena.,868208595116208129,"RT @tonsdemim: ⚖️ Decisão inédita no Brasil:

Juíza do Trabalho do TRT 5 (Bahia) determinou que o iFood pague salários a um entregador, até…",2022-04-15 13:50:30+00:00,286,0,0,0
39,antonny mello,1485837709591650305,"@VaquesYasmim Eu me recuso a pagar entrada pra role, comprei um cantil pra levar bebida de casa, como não to namorando quase nunca mais peço ifood numa sexta/sábado a noite e cara se tu for ter um date com um maluco rico faça ele pagar",2022-04-15 13:49:56+00:00,0,2,2,0
40,Ofertas e promoções,1283775113100513281,"RT @tonsdemim: ⚖️ Decisão inédita no Brasil:

Juíza do Trabalho do TRT 5 (Bahia) determinou que o iFood pague salários a um entregador, até…",2022-04-15 13:48:41+00:00,286,0,0,0
41,bia!¡ TWD,2369457031,"RT @tonsdemim: ⚖️ Decisão inédita no Brasil:

Juíza do Trabalho do TRT 5 (Bahia) determinou que o iFood pague salários a um entregador, até…",2022-04-15 13:48:28+00:00,286,0,0,0
42,Mari,792469561807429632,"SEXTA-FEIRA SANTA É DIA DE COMER BACALHAU NO VARANDA RESTAURANTE

Av. Portugal, N° 976, bairro Universitário. Caruaru. Próximo ao Bonanza. Aberto das 11h às 23h. 

Delivery pelo WhatsApp (81) 9 9980-8707; 3136-8676 ou pelo Ifood. https://t.co/n6Eqp0p0DX",2022-04-15 13:48:09+00:00,0,0,0,0
43,Jurema Werneck,250300727,Tudo pelo iFood é extremamente caro.,2022-04-15 13:47:59+00:00,0,0,0,0
44,tampinha,175778383,É impossível falar com o atendimento do @iFood.,2022-04-15 13:47:32+00:00,0,0,1,0
45,fãdoifood,1514960442644439040,"CUPOM DE DESCONTO 🛒

Amazon: https://t.co/KynTrQqMom

IFOOD: X4MD78UL8R

Riachuelo: RCHLO715722AFL 

Hering: https://t.co/rPup3DjV7u 

Renner: https://t.co/8lmNj7ipEP

Lojas Americanas: https://t.co/utZswHIjVE

CEA (código de consultora): ohmyshop

Amaro: CAMILACAMARGOS2090",2022-04-15 13:47:18+00:00,0,0,0,0
46,GABITA🇺🇾🇧🇷,35218834,@approvestydia sério só que aqui na minha cidade ele não funciona ainda male mal o ifood,2022-04-15 13:47:00+00:00,0,0,0,0
47,Lucas Reis,755398502545522688,"RT @tonsdemim: ⚖️ Decisão inédita no Brasil:

Juíza do Trabalho do TRT 5 (Bahia) determinou que o iFood pague salários a um entregador, até…",2022-04-15 13:46:23+00:00,286,0,0,0
48,Bruno Rangel,1660861142,"RT @tonsdemim: ⚖️ Decisão inédita no Brasil:

Juíza do Trabalho do TRT 5 (Bahia) determinou que o iFood pague salários a um entregador, até…",2022-04-15 13:45:45+00:00,286,0,0,0
49,...John Wick...🍀,516616563,"ah. tb pedi lanche o ifood, cancelei, o cara disse q tava pronto e eu falei q n ia pegar KKKKKKK gnt, q remédio é esse ???",2022-04-15 13:45:28+00:00,0,0,0,0
50,♥️Fane 🖤,2683896220,"Bom dia, bb @iFood @iFood",2022-04-15 13:44:56+00:00,0,0,0,0
51,channer femcel,1431206850372984832,entrei no ifood Porto Alegre e dei graças a deus que moro em SP ahahaha,2022-04-15 13:44:36+00:00,0,0,0,0
52,Lívia.com,1142468091999391744,"Eu não vou sair da santidade, em plena uma sexta feira santa por causa do iFood andreas, vou degustar minha torta capixaba e fingir que não li essa coisa bizarra que chamam de entrevista do entregador!",2022-04-15 13:43:45+00:00,0,0,2,0
53,juju(Bi)nha 🧬🎲,1245431234932674561,@iFood Preciso que resolvam meu problema já que o SaC e o telefone de vocês não funciona !!!,2022-04-15 13:41:14+00:00,0,0,0,0
54,Adolpho Pereira®,54271150,"@Dione00568728 @senadorhumberto Engraçado que não se vê nenhuma daquelas bolsas de entregador do Ifood. E sabe porque? Isso não é o povo, é uma elite rica e preconceituosa que quer perpétua a intolerância. Mas a esperança vai vencer o ódio.",2022-04-15 13:40:59+00:00,0,3,2,0
55,Nathancio,1143204314,Entrevista ridícula desse entregador do iFood. Nem terminei de ver.,2022-04-15 13:38:10+00:00,0,0,2,0
56,Matemático de Osasco,1135518147216379905,quem me mandar um ifood primeiro ganha,2022-04-15 13:38:04+00:00,0,0,0,0
57,vitinn bancado,1445097624328183813,Eu acho um absurdo o @ifood não ter nenhuma opção de peixe barato ou pelo menos com frete grátis,2022-04-15 13:38:00+00:00,0,0,0,0
58,lA. RI,138623574,pq o @iFood deixa ter taxa mínima se é proibido por lei?,2022-04-15 13:37:11+00:00,0,0,2,0
59,Centro Esquerda p um Brasil menos fascista.,1041327105328394240,Não posso deixar de perder. Fora ifood!!!!!!! https://t.co/7SYpG86UEk,2022-04-15 13:36:50+00:00,0,0,1,0
60,André Rocha,182108697,"porra
é só pérola 
ontem eu tava conversando com um entregador do ifood sobre honestidade, etc.
E ele parecia ser super consciente, daí que ele fala que tinha achado uma carteira perdida naquela noite.
+",2022-04-15 13:36:48+00:00,0,1,0,0
61,jeo,939299689123536896,"Amanhã vou passar o dia sozinho, pensa do em deixar metade do meu salário no ifood",2022-04-15 13:35:54+00:00,0,0,0,0
62,gabe,711647765458251776,10:35 e eu pedindo Ifood,2022-04-15 13:35:05+00:00,0,0,0,0
63,Luísa Pires,2895307378,"@bechidaniel Fica no pátio central shopping, pedi pelo ifood",2022-04-15 13:34:11+00:00,0,0,1,0
64,👽Alien Boy🌜,116829778,"@BlogdoNoblat Motociata de elite , nenhum motoqueiro q trabalha n Ifood está nessa , a moto mais barata é de 30 mil reais .",2022-04-15 13:31:49+00:00,0,1,2,0
65,jm doces ifood,1395348721458716673,Pra surpresa de zero pessoas o podcast liberal progressista que fala de publicidade e afins não pautou o que o ifood fez com o Galo.,2022-04-15 13:31:29+00:00,0,0,1,0
66,Nina 🌵❤️Zatanna Zatara ❤️,1358833451290529794,"- foi assim que ACORDEI 6H DEPOIS (quase 3h da manhã) sem saber onde eu estava
- tava na cama do meu roommate com um livro na mão???? usando minha toalha de cobertor e o grey's anatomy torando no cel com 1% ✨✨
- fiquei sem ifood e tive que laricar no pão com queijo branco",2022-04-15 13:30:30+00:00,0,0,7,0
67,rog,1263124262178697218,"- até aí tudo bem, consegui chegar no quarto e deitar 
- no entanto comecei a passar mal do estômago e pensei vixi será que vou vomitar???? o bagulho ficou tão louco que até fui pro banheiro (mas n rolou) 
- voltei pro quarto e decidi tirar uma soneca e depois pedir um ifood 😎",2022-04-15 13:30:29+00:00,0,1,3,0
68,André Victor 🇧🇷💢🇨🇳,845394205316960256,comprei um pod de manga pelo ifood 😭,2022-04-15 13:30:06+00:00,0,0,0,0
69,aleox,1236160550,@igorfleitee Já levei esse gato por lebre no ifood. Chorei no banho 😩,2022-04-15 13:29:24+00:00,0,0,0,0
70,Lucio Melo,2952335848,@TioHerc Em falar de ifood tenho 2 cupons de 10$ q vence hj e nem tem muita opção aqui pro rumo de casa,2022-04-15 13:28:33+00:00,0,0,1,0
71,jaquelaine,108606107,"#barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara! Use o ícone de coração no app pra salvar https://t.co/wcJPvSOIqJ",2022-04-15 13:28:13+00:00,1,0,1,0
72,Viní Almeida,1024987232531349504,"#barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara! Use o ícone de coração no app pra salvar https://t.co/SQeLzsU5lm",2022-04-15 13:28:03+00:00,1,0,1,0
73,Andro 傷,1383085195050504192,"#barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara! Use o ícone de coração no app pra salvar https://t.co/QwY9eOMjps",2022-04-15 13:27:50+00:00,1,0,1,0
74,o motomami virou piada minha parceira,23619589,"#barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara! Use o ícone de coração no app pra salvar https://t.co/T1D0daCHRk",2022-04-15 13:27:36+00:00,1,0,1,0
75,Rubens Mendonça,39542105,"#barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4vX6ct

Esse lugar é a sua cara! Use o ícone de coração no app pra salvar https://t.co/Kuf1zZoUAR",2022-04-15 13:27:23+00:00,1,0,1,0
76,Monteiro 🐙,3304772625,"RT @PauloCilas: @jeskagrecco Uma pizza que pedi veio assim, meu comentário no Ifood foi: o motoqueiro veio empinando a moto? Porque a pizza…",2022-04-15 13:27:19+00:00,5,0,0,0
77,🌞ito,1616809128,"#barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood

https://t.co/5tSw4weH41

Esse lugar é a sua cara! Use o ícone de coração no app pra salvar https://t.co/1YZSxtUmvh",2022-04-15 13:27:12+00:00,1,0,1,0
78,Nina Santos,16195169,ficar em casa sozinho o dia todo se resume em pedir ifood,2022-04-15 13:26:15+00:00,0,0,1,0
79,Donut Box Oficial,1511672281495486466,Valentino Rossi fez escola no Ifood e Zé Delivery. https://t.co/R4hiHPD7J7,2022-04-15 13:25:46+00:00,0,2,1,0
80,🧜🏽‍♀️ Tiny tim antipático,1001105599554351104,"lembrando em maceió q a gente pediu uma metade marguerita metade brigadeiro aí o brigadeiro melou tudo, a gente comeu de larica, reclamou com o ifood eles estornaram e também reclamamos diretamente na pizzaria e eles mandaram outra… foi um dia de vitória https://t.co/i9IT0tpqVl",2022-04-15 13:25:00+00:00,0,0,2,0
81,Conta,1456016594346315779,@jonasstelmann Por isso a entrevista no GE. Direcionada pra que o IFood tente se levantar depois da entregada.,2022-04-15 13:24:50+00:00,0,0,0,0
82,O próprio Diabo,89999533,"Gente sério, eu tenho vontade de pegar minha turma do ifood, montar um time com todos eles e guardar todos em um potinho de tanto carinho que eu tenho por cada um deles!",2022-04-15 13:23:42+00:00,0,0,2,0
83,a partida de jade,847248768806273025,Hoje faço 200tao no ifood. Fé,2022-04-15 13:21:22+00:00,0,0,2,0
84,Loki,634636352,@rafiszada se um dia eu pedir um ifood e o rafis vier entregar eu divido o lanche com ele fii,2022-04-15 13:20:38+00:00,0,0,1,0
85,Chico 🔴⚫,3336014223,"Vaza do meu @Flamengo 
Seu ifood! https://t.co/uasljgVCFl",2022-04-15 13:12:30+00:00,0,0,0,0
86,jose orlando,4243120995,"@Eduardo_ifood @matheuscomunica Entendo você , mas a representatividade deles dizem muitos racismo tá aí e camuflado imagino o ódio dos racistas nazistas vendo essa cena .",2022-04-15 13:12:08+00:00,0,0,0,0
87,𝗺𝗮𝗱𝘂 𝗯𝗹𝗼𝘀𝘀 ♡,1076267236652929024,"este friozão e eu tendo que ir no mercado essa hora, me aparece um cupomzão de mercado do @iFood 🙏🏼🥳",2022-04-15 13:10:12+00:00,0,0,0,0
88,Eduardo Lacerda,159467990,Eu só espero que tenha entrega no iFood hoje 😅,2022-04-15 13:10:08+00:00,0,0,1,0
89,LUPINO ( ENCOMENDAS ABERTAS ),1433980815147470850,@diogo_oldskull @tx_hash @MarvelBR @pedrinhodacruz_ @attwarley @skurtbrasil @Calvet_arts @manol1ma @dablio_art @pires_arts @phfreitas_art @dancoelhoarts @iFood @xetdoifood @NIKEBRASIL Muito obgd🙏,2022-04-15 13:09:11+00:00,0,0,1,0
90,Amanda Leal,210464862,@brunohfveloso A real é que eu nunca nem vou à padaria hahaha iFood é meu mestre,2022-04-15 13:06:48+00:00,0,0,0,0
91,🏴Grilos unidos pela revolução☭,1422968865059917824,"@austro_nomics @migue1in @comunadememes Você está justificando uma pessoa ganhar 1000 reais por mês (o que não paga nem um aluguel) com base na idade? Sério? Além disso, os trabalhadores do iFood não são majoritariamente jovens, Paulo Galo é um exemplo disso.

Qual experiência você adquire trabalhando pro iFood?",2022-04-15 13:05:25+00:00,0,1,0,0
92,alícia #OrdemParanormal,842163934056579073,@The_JDraw @gabbatsart @jjsathler @Sammycoruja @CryptiDeaddy @AkkielArt a (spoiler do nome) vendo a Aniela: hmmmm IFood chegou,2022-04-15 13:03:43+00:00,0,1,3,0
93,tamires,1427811128390950918,"na minha época foi 100 reais no ifood de presente, sdd https://t.co/WqMHekvhBC",2022-04-15 13:03:10+00:00,0,0,0,0
94,Poison Ivy 🌿,918283491451777024,"RT @PauloCilas: @jeskagrecco Uma pizza que pedi veio assim, meu comentário no Ifood foi: o motoqueiro veio empinando a moto? Porque a pizza…",2022-04-15 13:03:04+00:00,5,0,0,0
95,Alexandre Lula Salazar,59663832,"""Sistema jagunço"": Por que o iFood tenta esconder sua relação com empresas intermediárias (OL)? https://t.co/HQUEv8yaT1",2022-04-15 13:02:39+00:00,0,0,0,0
96,Fake Libriano,100416842,"O prédio todo de onde eu moro está cheirando a peixe, eu na minha humilde existência no máximo que vou fazer é uma sardinha com ovo ou a saída mais óbvia que é pedir um Strogonoff de frango via ifood",2022-04-15 13:02:08+00:00,0,0,0,0
97,Rofaroel,780522747139067905,"@thaliaabdon eu nunca consegui, sempre ficava pegando ifood de 1500, tenho paciência pra juntar 10k nao",2022-04-15 13:01:46+00:00,0,0,1,0
98,Lia Ben Dani,1062681649366876162,@RafaM_Pacheco @iFood @lunardispri vê esse aqui tbm!,2022-04-15 12:57:58+00:00,0,0,0,0
99,Guilherme Rodrigues,1500843628780048386,"Ótima conversa com a ⁦@agenciapublica⁩, sobre a sabotagem criminosa do ifood contra seus trabalhadores precarizados. https://t.co/zYs4gxYM8p",2022-04-15 12:56:01+00:00,0,1,1,0
100,◇♡Lelouch♤♧,1101521186914254848,@Jameson05968735 @Coorddy @MenkoiiKawaii @vitorsiqueirap @LulaOficial E taxista nao entra nessa mesma luta por recebimento de salario digno? Quem nao quee se mistura com a uber e ifood sao eles,2022-04-15 12:55:30+00:00,0,2,0,0
101,Ian Souza/ttnovo😢,1296043235262042112,"Prr pedi lanche no ifood ontem mais estava tao cansado que apaguei e acordei só agora,deve ter ficado me chamando..😂😂😂😂",2022-04-15 12:54:09+00:00,0,1,0,0
102,Leo Dalla Costa,40282198,@AugustoInacio13 @LulaOficial A agência de propaganda contratada pelo @iFood atacando novamente...se pá tão pensando que vão conseguir derreter o @LulaOficial como tentaram derreter o @galodeluta. A conta desse maluco tava parada a um tempo.,2022-04-15 12:53:42+00:00,0,0,1,0
103,b,1211500231403008005,"RT @yannagoiss: Pronta entrega tá on! ✨ retiradas na 606 sul (63) 99106-9649 ou entrega pelo IFood! 

Segue o cardápio abaixo 👇🏼 https://t.…",2022-04-15 12:53:27+00:00,3,0,0,0
104,Felipe Lauksas,45996610,@DevSuado @josyscript Alguma treta no iFood? Já me falaram para por currículo lá. Ouvi dizer que eles pagam bem e que exigem bom conhecimento de software para contratar.,2022-04-15 12:53:09+00:00,0,0,0,0
105,Líder Sindical Pokémon.,39813252,"also, pros devs ai felizões que o iFood deu macbook m1 proces? 

DO MOTOBOY ELES COBRAM 90 CONTO NA BAG... 

seja fã ai de empresa, seja.",2022-04-15 12:51:33+00:00,0,0,1,0
106,Srtª K  - A Ruiva da sorte!🍀,1469683332501970953,"Eu fui ver se tem promoção no ifood, quando vejo as opções de endereço apareceu algumas do trabalho, porém uma chamou atenção, pois nunca fui na referida sala. Será algum sinal?",2022-04-15 12:50:28+00:00,0,1,4,0
107,ᒪarissa,219096582,"Pedi um lanche no ifood ontem e dormir , o fd que paguei pelo app helppp",2022-04-15 12:48:56+00:00,0,0,0,0
108,@Mel,1352412832516747270,Não vou falar sobre o entregador de Ifood porque não quero me estressar na sexta feira santa,2022-04-15 12:47:04+00:00,0,1,2,0
109,Juh :),1510275861404172290,"Só eu que fico xingando os anúncios do YouTube?

Anúncio:ifood
Eu:ifood é seu c*",2022-04-15 12:46:58+00:00,0,0,0,0
110,Thiago,1161056046145769477,@iFood Como faço para obter meu ressarcimento?,2022-04-15 12:43:36+00:00,0,0,0,0
111,Pablo 🗣,41121559,tinha saído do serviço e minha amiga me ligou perguntando se queria passar na casa dela pra pegar uma sanduiche que ela tinha comprado 2 por 1 real no @iFood. vocês tem uma amizade igual a minha?,2022-04-15 12:43:29+00:00,0,0,0,0
112,let leonardo = 'Léo',4874748197,"@MafioletiTais Não 🥲 Estava na esperança de receber um crédito pelo iFood para comprar algo, mas não recebi nada",2022-04-15 12:43:29+00:00,0,0,0,0
113,Carlos Alberto,237405594,"@Maurormf Ele deve anunciar a inauguração de alguma nova filial da ""Ifood Pereira's"" na entrevista. SRN.",2022-04-15 12:43:18+00:00,0,0,1,0
114,marcelo,1425622437052526595,@iFood Senhora @ifood estou profundamente indignado pois essa madrugada realizei um pedido em um restaurante  meu pedido simplesmente não chegou. Tentei entrar em contato com o mesmo por todos os canais disponíveis e não obtive resposta. E o restaurante não quer fzr o cancelamento,2022-04-15 12:43:00+00:00,0,1,0,0
115,cintoca,107499730,"@FeBSoares não me surpreende pq outro dia no ifood tava 12 reais uma, DOZEEEE",2022-04-15 12:40:05+00:00,0,0,0,0
116,giulia (Taylor's Version),991402617992511488,será que eu mereço um café da manhã do iFood?,2022-04-15 12:39:45+00:00,0,3,5,0
117,🌬 FAIR 🌬,732017745869574145,é sobre não ter comprado as coisas de páscoa pra todo mundo e ter que pedir as 8 da noite pelo ifood um na lugano,2022-04-15 12:39:03+00:00,0,0,1,0
118,PALA D1NO²²,1160934312679825410,Daqui a pouco ir retirar mais 7 barras de chocolate no mercado que eu comprei pelo ifood. Já que eu acabei com as 8 que eu comprei sábado. Esses cupons da Samsung está salvando.,2022-04-15 12:37:38+00:00,0,0,7,0
119,Jú,1366058120330563589,"Se for vdd, me de uma @iFood",2022-04-15 12:37:19+00:00,0,0,0,0
120,Camille,166001951,mano tem @SkalaCosmeticos no @iFood NUNCA FUI TRISTE!!!!!,2022-04-15 12:37:14+00:00,0,0,0,0
121,Deni,1224095958591471618,"Se a intenção da assessoria do entregador do ifood era causar alguma empatia, se fodeu. Quero mais é essa maluco longe do Flamengo",2022-04-15 12:35:58+00:00,0,0,1,0
122,Agostinho Talara,1286773301042458626,"Depois que descobri o gift card do Ifood, não consigo ser mais criativa nos presentes kkkkk",2022-04-15 12:33:09+00:00,0,0,0,0
123,🦋,856113759559065600,"Tive um problema com meu pedido ontem ficou faltando refrigerante, pedi o reembolso o que devo fazer ? Pois no aplicativo não mostra nada só de minha solicitação @iFood",2022-04-15 12:31:47+00:00,0,0,0,0
124,Evelin Santana,355240284,Olha a mentira em do ifood 😂🤣😂,2022-04-15 12:31:22+00:00,0,0,0,0
125,Aderlan🔴⚫🇧🇷,315416749,"Olha só essa promo do iFood! São R$ 1.500 por mês por um ano pra pedir no app. Bora concorrer?

https://t.co/Fjju6H8xRX",2022-04-15 12:29:59+00:00,0,0,0,0
126,Lu,891494559540236289,"@souflamengoSRN @WendelSantos99 @pierre_moraes @cahemota @ericfaria74 @IvanRaupp Se valorize como flamenguista, assim vc passa vergonha, ser bajulador de jogador entregador @iFood",2022-04-15 12:26:59+00:00,0,0,2,0
127,Rubro Negro,801421835774595072,fui pedir um bagulho pra comer no ifood e pedi pra casa do odivan 🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡 cuidado com a burra,2022-04-15 12:26:51+00:00,0,0,1,0
128,Rafãoᶜʳᶠ ❤️🖤 BLOCK DE SEGUIR POR 3 DIAS!,1489348727177461767,@ge_fla vai trabalhar no Ifood,2022-04-15 12:25:57+00:00,0,0,0,0
