,tweet_id,Usuário,Publicação,Data,Compartilhamentos,Comentários,Likes,Citações,Sentimento
10,1546599546192789505,Jenny,o jeito que eu gasto dinheiro que não tenho no ifood é diferente kkkk,2022-07-11 20:57:20+00:00,0,0,0,0,neg
11,1546599203736064002,Keiichi não tankou o bostil,@stupidgaydeku @arthz @criticaduvidosa minha mãe e meu pai fazem comida e compram ifood quem pensa que a mãe é preguiçosa por isso é tão retardado quanto a chargista porque se a minha mãe compra fast food eu fico feliz e não fico xingando ela,2022-07-11 20:55:59+00:00,0,1,0,0,neg
12,1546599146743791617,luk1nh4z,rt styls oii pessoal eu e meu namorado sofremos um acidente de moto em uma viagem a moto era uma fonte de renda nossa meu namorado f…,2022-07-11 20:55:45+00:00,1089,0,0,0,pos
13,1546598911535636480,Denise,na primeira semana de covid e isolamento eu praticamente acabei com a comida da casa me restando apenas ovos e legumes murchos na gaveta da geladeira os porteiros estão reclamando de colocar as coisas no elevador o @ifood nao me dá cupons… to vendo uma semana sombria ai,2022-07-11 20:54:49+00:00,0,0,5,0,pos
15,1546598468281589761,Gabriella Sevilha,@ifood fiz uma reclamação no reclame aqui pela segunda vez já que a primeira não fui respondida recebi essa mensagem automática pelo wpp mas quando clico da na minha reclamação que continua sem resposta de vcs vocês podem me auxiliar em quis dados que vcs precisam? https t co bi yzs e y,2022-07-11 20:53:03+00:00,0,0,0,0,neg
16,1546598306435981312,vivi,pedi docinho no ifood aí saiu pra entrega ebaa e logo dps eles cancelaram meu pedido desumano uma coisa dessas viu,2022-07-11 20:52:25+00:00,0,0,1,0,pos
17,1546598185258422275,alternatif,um absurdo cancelarem pedido do ifood depois de mais de min q você fez o pedido e tá contando com ele chegar a tempo,2022-07-11 20:51:56+00:00,0,0,0,0,neg
18,1546598144594649089,ガイア — 𝐂𝐚𝐯𝐚𝐥𝐫𝐲 𝐂𝐚𝐩𝐭𝐚𝐢𝐧,⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀o ifood deveria me patrocinar de tanto que eu compro comida ⠀ ⠀⠀⠀⠀,2022-07-11 20:51:46+00:00,0,0,0,0,pos
19,1546597979662041088,Ana & Jones 🍁 todo conteúdo em casal por 50 ✨,rt @anabeledarkdoll só queria um boy me mandando giftcard do ifood pra me ver alimentada 😮‍💨🖤✨,2022-07-11 20:51:07+00:00,5,0,0,0,pos
21,1546597629051928577,Artemis,rt @roscariano o rapaz do ifood veio fazer uma entrega e perguntou se eu era o rapaz do twitter falei que sim convidei pra entrar e no f…,2022-07-11 20:49:43+00:00,1516,0,0,0,pos
22,1546597604968071168,Carl1nha,@anapxv eu tava com ressaca moral com o ifood e não queria nem ter visto o que eu comprei mas eu abri o ifood agora de tarde e tava assim e consegui cancelar o agendamento https t co bg i a sd,2022-07-11 20:49:38+00:00,0,1,0,0,pos
24,1546597415662358529,🅰️ndrielly,entrega não rastreável do ifood um inferno 🤡,2022-07-11 20:48:52+00:00,2,0,4,0,pos
25,1546597222380445698,Br ✠⁷⁷⁷,rt @pqp_cabelex ifood não fortalece um cupom mané,2022-07-11 20:48:06+00:00,1,0,0,0,pos
26,1546597210896343042,laora,entre nunca mais vou comer nada e e se eu pedir todas as coisas do mundo no ifood,2022-07-11 20:48:04+00:00,0,0,0,0,neg
27,1546596906633252865,Méqui,@rainbowsmount @ifood chama a gente na dm? vamos te ajudar por lá!,2022-07-11 20:46:51+00:00,0,0,0,0,pos
29,1546595760304787457,iah,@flerferr_ o odio q eu tenho dessas logos parecidas! eu sempre confundo o ifood com o pinterest,2022-07-11 20:42:18+00:00,0,1,0,0,pos
30,1546594956852318209,masha,eu to mto desmiolada hoje juro minha mae falou de pedir comida aí fui baixar o ifood pra ver opções e digitei pizza na app store shes sooooo crazy,2022-07-11 20:39:06+00:00,0,0,1,0,pos
31,1546594933787721732,Bruna Calazans,para orgulho do meu amigo @riqriqs hoje eu abri o ifood para comprar uma salada cara fechei o app e fiz a minha própria salada,2022-07-11 20:39:01+00:00,0,0,1,0,pos
32,1546594735443398656,Darlene Dalbão,rt @mjufreire pessoal de rio grande não comprem churrasco no espeto de prata no ifood é golpe é literalmente golpe,2022-07-11 20:38:13+00:00,102,0,0,0,pos
33,1546594732700311557,Guxta 🔪,tão bao subir ifood com cc 💆🏻,2022-07-11 20:38:13+00:00,0,0,2,0,pos
35,1546594495751495686,Bosco Galindo,@nandorasec @ifood chama a gente na dm pra bater um papo? te esperamos,2022-07-11 20:37:16+00:00,0,0,1,0,pos
36,1546594479464914945,Nico 📺: ST2,hoje segunda feira tem promoção do burgercue na fogo &amp; chama 🔥 ou peça pelo delivery através dos aplicativos ifood rappi ou pelo nosso whatsapp https t co qn cvukhl,2022-07-11 20:37:12+00:00,0,0,0,0,pos
38,1546594273767858182,Marciele,entregador do @ifood tá levando meu pedido pra casa dele e eu tô acompanhando tudo pelo app a tecnologia veio pra mudar nossas vidas,2022-07-11 20:36:23+00:00,0,1,0,0,pos
39,1546593892526587913,peituda metida 🍒,e hoje voltou o foco voltar a ser gostosa pq fiquei mais de um mês só comendo ifood e ficando deitada sentada,2022-07-11 20:34:52+00:00,0,0,1,0,neg
40,1546593259253817344,"Alice, daquele país...",@sabrinoca @ifood o ifood automaticamente aceitou reembolso até agora não caiu no cartão então ainda tá como pago o motoboy ainda veio junto pra mostrar minha casa não o culpo pq não ia dizer não pro patrão dele tô esperando uma resposta do @ifood até agora!,2022-07-11 20:32:21+00:00,0,0,2,0,neg
41,1546592970014691330,UCK,hoje fui xingada por um entregador do ifood ele me olhava de um jeito que me deixou extremamente assustada registrei a denúncia junto ao ifood mas sinceramente tô com medo,2022-07-11 20:31:13+00:00,0,0,2,0,pos
42,1546592960191553536,ً,hoje fiquei triste abri o ifood e não tem um lugar descente nessa ilha que tenha churros,2022-07-11 20:31:10+00:00,0,0,0,0,pos
45,1546592350012641280,mãe de pet,todas as fintechs estão piorando seus serviços picp#y tirou o cashback do cartão de crédito c b#nk acelerador de pontos agora é pago canalhas iti acabou com a parceria com o ifood 😭 https t co y rirm eb,2022-07-11 20:28:45+00:00,0,0,0,0,neg
46,1546591835073781760,⋆,pedindo remédio no ifood são outros tempos mesmo viu,2022-07-11 20:26:42+00:00,0,0,0,0,pos
48,1546591584401211396,Áthila Teixeiraᶜʳᶠ,comprando meus hormônios pelo ifood e recebendo eles em casa,2022-07-11 20:25:42+00:00,0,0,0,0,pos
49,1546591234420101121,✯,quer provar essa delícia? procura o @elparrillerob estamos abertos de quarta a domingo a partir das hs funcionamos somente delivery estamos no ifood https t co btosowmte,2022-07-11 20:24:19+00:00,0,0,0,0,pos
50,1546590899131617284,Nando Rasec,por que não dá pra ver o trajeto de entrega da mercadoria que tá com o correios tipo ifood? bota um gps aí vidas o futuro está aqui,2022-07-11 20:22:59+00:00,0,0,2,0,neg
51,1546590393218760708,Um dia sendo pobre,pow @mcdonalds_br comprei dois combos com vocês pelo @ifood e chegou faltando dois sanduíches abri reclamação e nenhum dos dois resolveram meu problema muito irado como se preocupam com os seus clientes,2022-07-11 20:20:58+00:00,0,1,1,0,pos
52,1546590097990209537,Rafael B M Jr.,quando do nada um maluco do ifood vêm ultrapassando https t co wnnddm eon,2022-07-11 20:19:48+00:00,0,0,0,0,neg
53,1546589980163702784,Sabrinoca,rt @joaosouza_ @evertonleblon sair da alemanha pra tomar tiro de bandido disfarçado de entregador de ifood não obrigado,2022-07-11 20:19:20+00:00,4,0,0,0,pos
54,1546589858285735936,Barbezinha do SUS,@raquelcarolinni @ifood isso que eles fizeram é erradíssimo quem faz a ponte cliente restaurante é o @ifood ja aconteceu comigo a mesma coisa do restaurante ameaçar vir até minha porta fazer barraco e escândalo faz uns anos isso xinguei a mulher de tudo quanto é nome pelo chat e duvidei ela de vir,2022-07-11 20:18:51+00:00,0,1,7,0,pos
55,1546589802023321601,Marcos,@raquelcarolinni @ifood nossa cobra mesmo ele nao tinha direito algum de ir na sua casa falar nada era problema dele com o @ifood,2022-07-11 20:18:37+00:00,0,0,1,0,neg
56,1546589282361565184,vidalyy,rt @rtdaflatt marketeiro entregador de ifood já deixou de ser torcedor do flamengo! hahahahahahaha pqp! tem quem cai nestes papinhos!…,2022-07-11 20:16:33+00:00,23,0,0,0,pos
59,1546589192578371589,Júlia Melo,comprar coquinha gelada no ifood mercados e enviarem a sem açúcar 🤮😭,2022-07-11 20:16:12+00:00,0,0,0,0,pos
60,1546589119891005441,"mirthrinde, a cruzeirense",tá me achando com cara de ifood https t co l jktim gu,2022-07-11 20:15:55+00:00,0,2,10,0,pos
61,1546588784715784197,50% dendê 50% guaravita,não posso ficar de ressaca que fico acometida pela vontade de gastar meu salário todo em ifood,2022-07-11 20:14:35+00:00,0,1,2,0,neg
62,1546588395908075523,Yasmin,@danybabadin @ifood eu achei um absurdo isso me senti sem segurança alguma como q o gerente tem acesso ao meu endereço? o motoboy veio junto ainda tô esperando uma explicação do @ifood até agora,2022-07-11 20:13:02+00:00,0,1,1,0,neg
63,1546588368867393537,Léia Araujo 🇧🇷SP,@ifood meu sorvete veio derramado e a loja não me responde o pagamento foi no pix! pelo menos vocês pode devolver meu dinheiro já o que cliente não vale nada para os seus sellers?,2022-07-11 20:12:56+00:00,0,0,0,0,neg
64,1546588312474886148,duda,ifood com problema no clube ifood mas minha fome não aguenta esperar podiam lançar um bônus depois dessa falha aí,2022-07-11 20:12:42+00:00,0,0,0,0,neg
65,1546588171382804481,Lilian,rt @clubedobeijo ele já tá começando a fazer os churrasquinhos que serão vendidos em sua barraquinha 😁 será que ele entrega pelo ifood?…,2022-07-11 20:12:08+00:00,1,0,0,0,pos
66,1546588051140493313,rê de guapa,o balbec não estar no ifood é um absurdooo,2022-07-11 20:11:40+00:00,0,0,2,0,pos
67,1546587861973192704,Juliana 🇺🇦,ganhei um voucher de reais do ifood acabei de usar pra comprar remédio pra zelda,2022-07-11 20:10:55+00:00,0,0,0,0,pos
68,1546587659623088135,Bárbara Libório,isso aqui já sumiu cara que prazos são esses??? cpi do ifood urgente https t co cnpk kwd p,2022-07-11 20:10:06+00:00,0,0,3,0,neg
70,1546587394253754368,yσυкiмyツ,segunda feira h e eu seriamente pensando em recompensar cansaço com hambúrguer abri o uber em vez do ifood é só o primeiro dia útil da semana,2022-07-11 20:09:03+00:00,0,0,4,0,neg
71,1546587044914274304,Gabriel,🏷cupom rappi comeguriaprime quer entregas grátis e ilimitadas ?com o cupom comeguriaprime vocês ganham rappi prime basic por um mês! *pode cancelar antes de completar mês! #rappi #delivery #cupom #desconto #ifood #uber #almoço #sextou https t co ool uemgqq i,2022-07-11 20:07:40+00:00,0,0,0,0,pos
72,1546586751292129284,José Domingos Delciello Jr,@ifood roubaram meu celular fizeram compras com meu cartão tentei falar com vocês porém nada adianta além do mas ficaram mandando a mesma mensagem umas vezes tive um prejuízo de quase reais quero saber quando alguém realmente vai poder me ajudar por que está difícil https t co d qlai q g,2022-07-11 20:06:30+00:00,0,0,0,0,neg
74,1546585507391541249,Fernando Cezar,@ifood @ifood roubaram meu celular fizeram compras com meu cartão tentei falar com vocês porém nada adianta além do mas ficaram mandando a mesma mensagem umas vezes tive um prejuízo de quase reais quero saber quando alguém realmente vai poder me ajudar por que está difícil,2022-07-11 20:01:33+00:00,0,0,0,0,neg
76,1546585209327476740,ana⁴⁴,as melhores sobremesas brooks hamburgueria atibaia al lucas nogueira garcez jd paulista atibaia sp whatsbrooks #sobremesa #atibaia #crienaocopie #brooks #artesanal #gourmet #chopp #lemonade #ifood #hamburguer #fritas https t co uwqefzgbnm,2022-07-11 20:00:22+00:00,0,0,0,0,pos
77,1546585114943127556,Nubank,“nos próximos anos essa proibição resultará na eliminação estimada de mais de milhão de toneladas de #resíduos #plásticos e mais de mil toneladas de #poluição plástica” escreveu @justintrudeau no twitter https t co w uagwpulx,2022-07-11 20:00:00+00:00,0,0,1,0,neg
78,1546584994746974214,ℬianquinha 👑,tem lojas de açaí na cidade mas é um sufoco para achar alguma no ifood que venda vitamina de açaí… 🙃,2022-07-11 19:59:31+00:00,0,0,0,0,pos
79,1546584821765443586,Tony Coelho,molho teriyaki o molho teriyaki traz um toque especial https t co jvkvw azux #comidacaseira #chef #frango #hipertenso #diabetico #bolos #soufle #risoto #delicia #doce #saudavel #sobremesa #cozinha #restaurantes #massa #ifood #car https t co v ukywc co,2022-07-11 19:58:50+00:00,0,0,0,0,pos
81,1546584473315278848,@ᶜᵃᵗ,@psico_sweet @ifood dá uma olhadinha se o valor foi estornado na conta ou na fatura tá bem? se não ocorreu a devolução você pode fazer o reporte dessa compra pelo app! se precisar de ajuda nos chame pelo chat!,2022-07-11 19:57:27+00:00,0,0,0,0,neg
82,1546584321762500608,lele died in the sunset,deus tira de mim essa vontade de gastar meu dinheiro no ifood,2022-07-11 19:56:51+00:00,0,1,1,0,neg
83,1546584005327437829,dani ⚢,@angelagolds @ifood fazem os bolos com a sobra de cimento da cyrela,2022-07-11 19:55:35+00:00,0,0,0,0,neg
84,1546583830672310279,Podolatria Brasileira 🖤👣,@rtdaflatt isso mesmo!!!! vsf ifood pereira!!!!,2022-07-11 19:54:54+00:00,0,0,0,0,pos
85,1546583825953824768,João Pedro,@metropoles ela só faltou perguntar se ele estava com fome sei lá talvez ela pedia um ifood pra ele tadinho o cara ia ser preso com fome,2022-07-11 19:54:52+00:00,0,0,0,0,neg
86,1546583573939081219,#ForaMarcosBrazᶜʳᶠ,no meu trabalho apelidamos o ifood de aífode porque olha sem condições,2022-07-11 19:53:52+00:00,0,0,0,0,pos
87,1546583148833677312,Ângela Goldstein,eu pedi um bolo de pote no ifood e pedi pra colocarem algo desejando feliz aniversário não é meu aniversário não sei pq fiz isso mas gostei estou feliz https t co dgxfxhuy o,2022-07-11 19:52:11+00:00,0,0,1,0,neg
88,1546583094144258048,Jadson Frazao,rt @findombrazil da tarde e não almoçei ainda quem vai mandar o pix pra bancar meu ifood hj? chama no direct seja obediente e manda…,2022-07-11 19:51:58+00:00,4,0,0,0,pos
89,1546582842066583552,TrezÁsᶜʳᶠ🔴⚫️🇧🇷,@evertonleblon sair da alemanha pra tomar tiro de bandido disfarçado de entregador de ifood não obrigado,2022-07-11 19:50:58+00:00,4,2,132,1,pos
91,1546582690748633090,daiane,acabei de pedir um bolo de cenoura pelo @ifood e veio um folheto de propaganda da cyrela sim a construtora junto com o pedido!!!! que marmota é essa??? https t co m nds x y,2022-07-11 19:50:22+00:00,0,1,1,0,neg
93,1546580824979652608,c a m i l e; 🍎,@ssarahandrade manda um ifood pra mim to com fome,2022-07-11 19:42:57+00:00,0,0,0,0,pos
94,1546580321382039552,AndreiaSJ,@littlechubstin @falltodirection @marcospbruno @petragnery @paoloxavier @analaurasss então esse pessoal não pela um uber não usa um ifood não acesso um banco não manda um pix não faz nada,2022-07-11 19:40:57+00:00,0,2,0,0,neg
95,1546580166306152448,Ofertas e promoções,@juliette manda um ifood pra mim to com fome,2022-07-11 19:40:20+00:00,0,1,0,0,pos
96,1546580036865724422,gabs 🦅,cupom de desconto cornershop by uber faça suas compras de mercado sem sair de casa com as primeiras entregas grátis! se cadastre pelo nosso link e aproveite os descontos exclusivos! https t co gdxbkw hfg #uber #ubereats #ifood #mercado #rappi https t co t qpsinnuw,2022-07-11 19:39:49+00:00,0,0,0,0,pos
97,1546579926941417474,VITORIA💖,agora virou moda acessarem minha conta no @ifood e ngm resolver nada já troquei de senha e até desinstalei o app e mesmo assim continuam usando minha conta 🤡,2022-07-11 19:39:23+00:00,0,0,0,0,neg
99,1546579307723644928,Thay 💫,medidas drásticas foram tomadas apaguei o app do ifood,2022-07-11 19:36:55+00:00,0,0,1,0,pos
100,1546579234944159747,bia,curiosidade do dia não dá pra comprar cigarro no ifood?,2022-07-11 19:36:38+00:00,0,1,0,0,pos
101,1546578564048379904,clarinha,eu doente como tudo oq tem em casa e ainda fico na tentação de ifood,2022-07-11 19:33:58+00:00,0,0,0,0,pos
103,1546577411915108352,Cassiê ✨,🏷cupom rappi comeguriaprime quer entregas grátis e ilimitadas ?com o cupom comeguriaprime vocês ganham rappi prime basic por um mês! *pode cancelar antes de completar mês! #rappi #delivery #cupom #desconto #ifood #uber #almoço #sextou https t co ool uemgqq gj,2022-07-11 19:29:23+00:00,0,0,0,0,pos
104,1546577346907574277,Mariano,o que mais me interessou foi os dólares mas tem cupom presente e vale compras cupom de no ifood,2022-07-11 19:29:08+00:00,0,0,0,0,pos
105,1546577166187601921,Auanna 🎣,não pode vim um cupom no ifood que eu já zero minha conta kkkkk,2022-07-11 19:28:25+00:00,0,0,3,0,neg
106,1546577081907253248,Jhon edwin Villarreal pacheco,difícil a vida de quem mora com amiga q namora e recebe ifood surpresa em plena segunda feira a tarde,2022-07-11 19:28:04+00:00,0,1,1,1,pos
107,1546576975141142530,Thdo1°,rt @bonvivanttprive sou a nova entregadora do ifood e o cliente me pagou com muita rola na bucetinha 🥵 conteudo completo la no meu pri…,2022-07-11 19:27:39+00:00,17,0,0,0,neg
108,1546576542905540611,Pedro Lobo,esse negócio de ter supermercado no ifood é tudo pra mim comprei umas coisas q tava precisando aqui sem precisar sair tudo pra mim 🫰🏻,2022-07-11 19:25:56+00:00,0,0,1,0,neg
109,1546576364601475073,g4bs,@crowofashesss metade do ifood de sjc é dessa porra kkkkkkkkkkkkkkkk,2022-07-11 19:25:13+00:00,0,1,0,0,pos
110,1546575756196814849,Diogo gomes,hoje acordei podre sinusite no seu estágio crítico de inchar o rosto e cabeça pesar kg eu bem bela chamei os meus dois remedios salvadores na farmácia pelo ifood ate ai tudo certo pedido confirmado entregador aguardando pedido e saiu para entrega,2022-07-11 19:22:48+00:00,0,1,0,0,pos
111,1546575637430796291,Yuri,@proconspoficial será que tem alguma forma de fazer com que o @ifood atenda o chamado aberto a mais de dias chamado aberto via sistema,2022-07-11 19:22:20+00:00,0,0,0,0,pos
112,1546575332400136193,ana fraus,o ifood me manda mais mensagem do que minha mãe e todos que vivem em meu ciclo impressionante,2022-07-11 19:21:07+00:00,0,0,0,0,pos
113,1546574941373480970,bequinha,@alkiminaj @ifood se precisar de um lugar q te atende com falta de educação e caga p horário é esse ai kkkk,2022-07-11 19:19:34+00:00,0,0,0,0,neg
114,1546574910973157379,estorvo,tô doida pra comer um lanche do subway mas pelo ifood tá tão caro,2022-07-11 19:19:27+00:00,0,0,0,0,neg
115,1546574870158393344,Burrototal,queria descontar minha tristeza num docinho sei la uma barra de laka oreo qualquer coisa tudo caro no ifood,2022-07-11 19:19:17+00:00,0,0,0,0,neg
116,1546574726948163584,du.,@ifood vou vir aqui todos os dias ate o chamado &gt; dias e nada &gt; dias e nada ser resolvido restaurante não aparece na lista desde,2022-07-11 19:18:43+00:00,0,0,0,0,neg
117,1546574699286740992,barbara 바르바라,@maiamcraes tenho tara em pagar boletos colocar creditos em cel e dar gift card pago ifood bebidas so peço que me use das maneiras corno otario empregado objeto não peço informacoes e nudes a exploração é leve,2022-07-11 19:18:36+00:00,0,0,0,0,neg
118,1546574671201669122,Tha ˢᵖᶠᶜ.,@thaynabfr @alveesgraci tenho tara em pagar boletos colocar creditos em cel e dar gift card pago ifood bebidas so peço que me use das maneiras corno otario empregado objeto não peço informacoes e nudes a exploração é leve,2022-07-11 19:18:30+00:00,0,2,0,0,neg
119,1546574650989232131,Giu Volante,depressão bobs parou de aceitar alelo no ifood sem mais l de milkshake de paçoca,2022-07-11 19:18:25+00:00,0,1,1,0,pos
120,1546574590838800384,løvely,@barbierxvxl tenho tara em pagar boletos colocar creditos em cel e dar gift card pago ifood bebidas so peço que me use das maneiras corno otario empregado objeto não peço informacoes e nudes a exploração é leve,2022-07-11 19:18:11+00:00,0,1,0,0,neg
121,1546574511130218497,Power Otaku Days,@geovana tenho tara em pagar boletos colocar creditos em cel e dar gift card pago ifood bebidas so peço que me use das maneiras corno otario empregado objeto não peço informacoes e nudes a exploração é leve,2022-07-11 19:17:52+00:00,0,0,0,0,neg
122,1546574454578364418,ka ☂︎ | nancy wheeler's girlfriend,@tayna_rcosta tenho tara em pagar boletos colocar creditos em cel e dar gift card pago ifood bebidas so peço que me use das maneiras corno otario empregado objeto não peço informacoes e nudes a exploração é leve,2022-07-11 19:17:38+00:00,0,0,0,0,neg
123,1546574445879377920,Brenno Souto,ontem eu e felipe pedimos uma comidinha do al sultan arabian food nome do ifood e gente a comida é simplesmente uma das melhores comidas que já comi na vida e não é caro,2022-07-11 19:17:36+00:00,0,0,5,0,pos
124,1546574278698704898,︎︎ ︎ ︎ ︎︎︎ ︎ ︎ ︎︎︎ ︎ ︎ ︎︎︎ ︎ ︎ ︎︎︎ ︎ ︎ ︎︎︎ ︎ ︎ ︎︎︎,@ifood uma boa solução seria resolver meu chamado feito dia no portal do parceiro,2022-07-11 19:16:56+00:00,0,0,0,0,neg
125,1546574194032447489,𝑓𝑙𝑎𝑚𝑒𝑛𝑔𝑜,hoje me permiti pedir docinhos no ifood,2022-07-11 19:16:36+00:00,0,0,2,0,pos
126,1546573442895515650,bifao🥩,@ifood pior app e pior atendimento do mundo 😴🤑,2022-07-11 19:13:37+00:00,0,0,0,0,pos
127,1546573147541049344,Davi Pontes,e agora o @ifood vai me devolver os reais da batata dentro do combo o que diabos eu quero com dois reais não é justo comigo eu comprei um combo caríssimo pq era o único que vinha com a opção que meu irmão come não recebi o que pedi e ainda querem me devolver dois reais https t co u qvrevy g,2022-07-11 19:12:26+00:00,0,0,0,0,neg
128,1546572871220297729,Rodrigo,@fenris_lupus ah as farmácias estão tentando fugir do ifood que cobra uma taxa absurda as daqui elas estão saindo todas do app até farmácia grande com várias lojas está entregando só via wathsapp ou telefone,2022-07-11 19:11:21+00:00,0,1,0,0,neg
129,1546572689783267328,DAVID🧣,gente se o moço do ifood cancelar meu pedido eu vou cometer um crime,2022-07-11 19:10:37+00:00,0,0,0,0,pos
130,1546572547684241408,Milena Rávane,a pior coisa que tem é conseguir falar com o suport do @ifood,2022-07-11 19:10:03+00:00,0,0,0,0,neg
131,1546572276354670597,romenia,@bubatata_ qualquer dia a gente tira pra isso um vinho barato ifood e conversa fora https t co wvuqnuivi,2022-07-11 19:08:59+00:00,0,1,1,0,neg
133,1546571354887098370,Raissa Brizeno,peço ifood quando não tem ngm em casa aí quando a porra do pedido tá pronto todo mundo decide vir p minha casa,2022-07-11 19:05:19+00:00,0,0,1,1,neg
134,1546571065232596999,Léo zin,@mcdonalds_br o que esta acontecendo com as lojas no ifood que não tem nada?! não tem big tasty em nenhuma,2022-07-11 19:04:10+00:00,0,0,0,0,neg
135,1546571050309357576,jack in the mox,rt @brennokaio_ce alguém curte um entregado?? ifood 💻😍 todo safadinho e cheio de curiosidade segundo ele não curte kkk mas adora uma am…,2022-07-11 19:04:06+00:00,34,0,0,0,pos
136,1546570826123821059,mariana bernardino,quem tiver cartão de crédito do banco do brasil e usa com frequência pfvr não deixem passar essa promo “desejo ourocard” ela é perfeita! resgatei meus cupons do mês de junho mais de reais no ifood e agora já estou garantindo meus do mês de julho eles acertaram mt,2022-07-11 19:03:13+00:00,0,0,1,0,pos
137,1546570739607904257,Debs ☺︎,é muito triste quando suas únicas notificações do dia são do aplicativo do ifood,2022-07-11 19:02:52+00:00,0,0,0,0,pos
138,1546570737011531778,Daniiel,virei a louca do ifood semana passada comprei papel higiênico por cotton agora a qualy tá,2022-07-11 19:02:52+00:00,0,1,0,0,neg
139,1546570415841198080,lee ☂︎,@ifood ja falei com vocês pela dm do instagram e ainda não tive resposta,2022-07-11 19:01:35+00:00,0,0,0,0,pos
140,1546570408131960833,Gabriela Tomasini 🇧🇷🏠,passei um mês sem pedir ifood e perdi o vício totalmente de pedir comida pq tava com preguiça de cozinhar 😌,2022-07-11 19:01:33+00:00,0,1,1,0,neg
141,1546570121757556738,sexto player,@kkkkauo peça no ifood,2022-07-11 19:00:25+00:00,0,0,1,0,pos
142,1546570052027162624,ᴅᴀɴʏ ʙᴀʟᴀ ɴᴏ ʙᴇᴀᴛ ❤️‍🔥⚡️,tenho folga ate quinta meus planos envolvem ler tudo da garibalda jogar fortnite pedir cookie no ifood dormir de montão,2022-07-11 19:00:08+00:00,0,0,0,0,pos
143,1546570026378985474,Gata loira 👩🏼,@maddiextzz vai em “perfil” dps “clube ifood”,2022-07-11 19:00:02+00:00,0,0,0,0,pos
144,1546569764725719047,thuthu do litrao,quem diria que gastar todo dia com comida no ifood iria estourar meu cartão,2022-07-11 18:59:00+00:00,0,0,1,0,neg
145,1546569732366766081,ทαทα,ontem fui no mercado fazer rancho paguei em um mísero litro de leite hoje com cupom comprei litros a cada valeu ifood 😁😂,2022-07-11 18:58:52+00:00,0,0,0,0,neg
147,1546569519879053312,Igorf,resumo do aniversário que é hj e comemorei com amigos família sábado ganhei plantas ganhei decoração pra casa ganhei comidas e ganhei vales do ifood idade chegou sim ou com certeza? ganhei plantassss,2022-07-11 18:58:02+00:00,0,1,0,0,neg
148,1546569310327504897,trix,preciso de um pouco da felicidade que só uma compra impulsiva e um pedido no ifood podem proporcionar,2022-07-11 18:57:12+00:00,0,0,0,0,pos
149,1546569153934508037,tainá,@ifood devolve minha conta namoral,2022-07-11 18:56:34+00:00,0,0,0,0,pos
150,1546569067317846016,gabi,acreano nunca vai ser acostumar com a comida de outro lugar 🥲 passei meses comendo mais ifood que comida kkkkkk,2022-07-11 18:56:14+00:00,0,0,1,0,pos
