,user,user_id,text,created_at,retweet_count,reply_count,like_count,quote_count,class
33,Nathalia Almeida 🧬,34520072,bom que com plataformas como o ifood o otario e o malandro não precisam nem sair na rua para se encontrarem https t co qq larr e,2022-04-15 13:55:05+00:00,0,0,1,0,pos
34,Val,1024138905011019778,kkkkkkkkkkk coe eu pedi um dixavador pelo ifood e os cara mandaram a seda kkkkkk amei os cara,2022-04-15 13:54:25+00:00,0,0,0,0,pos
36,...,882952186581458945,rt @tonsdemim ⚖️ decisão inédita no brasil juíza do trabalho do trt bahia determinou que o ifood pague salários a um entregador até…,2022-04-15 13:53:08+00:00,286,0,0,0,pos
37,Blog do Adriano Luiz,997683390144024576,paciência nenhum com o suporte do ifood,2022-04-15 13:51:35+00:00,0,0,0,0,pos
42,Mari,792469561807429632,sexta feira santa é dia de comer bacalhau no varanda restaurante av portugal n° bairro universitário caruaru próximo ao bonanza aberto das h às h delivery pelo whatsapp ou pelo ifood https t co n eqp p dx,2022-04-15 13:48:09+00:00,0,0,0,0,pos
43,Jurema Werneck,250300727,tudo pelo ifood é extremamente caro,2022-04-15 13:47:59+00:00,0,0,0,0,pos
44,tampinha,175778383,é impossível falar com o atendimento do @ifood,2022-04-15 13:47:32+00:00,0,0,1,0,pos
45,fãdoifood,1514960442644439040,cupom de desconto 🛒 amazon https t co kyntrqqmom ifood x md ul r riachuelo rchlo afl hering https t co rpup djv u renner https t co lmnj ipep lojas americanas https t co utzswhijve cea código de consultora ohmyshop amaro camilacamargos,2022-04-15 13:47:18+00:00,0,0,0,0,pos
50,♥️Fane 🖤,2683896220,bom dia bb @ifood @ifood,2022-04-15 13:44:56+00:00,0,0,0,0,pos
51,channer femcel,1431206850372984832,entrei no ifood porto alegre e dei graças a deus que moro em sp ahahaha,2022-04-15 13:44:36+00:00,0,0,0,0,pos
54,Adolpho Pereira®,54271150,@dione @senadorhumberto engraçado que não se vê nenhuma daquelas bolsas de entregador do ifood e sabe porque? isso não é o povo é uma elite rica e preconceituosa que quer perpétua a intolerância mas a esperança vai vencer o ódio,2022-04-15 13:40:59+00:00,0,3,2,0,pos
56,Matemático de Osasco,1135518147216379905,quem me mandar um ifood primeiro ganha,2022-04-15 13:38:04+00:00,0,0,0,0,pos
58,lA. RI,138623574,pq o @ifood deixa ter taxa mínima se é proibido por lei?,2022-04-15 13:37:11+00:00,0,0,2,0,pos
60,André Rocha,182108697,porra é só pérola ontem eu tava conversando com um entregador do ifood sobre honestidade etc e ele parecia ser super consciente daí que ele fala que tinha achado uma carteira perdida naquela noite,2022-04-15 13:36:48+00:00,0,1,0,0,pos
62,gabe,711647765458251776,e eu pedindo ifood,2022-04-15 13:35:05+00:00,0,0,0,0,pos
63,Luísa Pires,2895307378,@bechidaniel fica no pátio central shopping pedi pelo ifood,2022-04-15 13:34:11+00:00,0,0,1,0,pos
65,jm doces ifood,1395348721458716673,pra surpresa de zero pessoas o podcast liberal progressista que fala de publicidade e afins não pautou o que o ifood fez com o galo,2022-04-15 13:31:29+00:00,0,0,1,0,pos
68,André Victor 🇧🇷💢🇨🇳,845394205316960256,comprei um pod de manga pelo ifood 😭,2022-04-15 13:30:06+00:00,0,0,0,0,pos
69,aleox,1236160550,@igorfleitee já levei esse gato por lebre no ifood chorei no banho 😩,2022-04-15 13:29:24+00:00,0,0,0,0,pos
71,jaquelaine,108606107,#barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood https t co tsw vx ct esse lugar é a sua cara! use o ícone de coração no app pra salvar https t co wcjpvsoiqj,2022-04-15 13:28:13+00:00,1,0,1,0,pos
72,Viní Almeida,1024987232531349504,#barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood https t co tsw vx ct esse lugar é a sua cara! use o ícone de coração no app pra salvar https t co sqelzsu lm,2022-04-15 13:28:03+00:00,1,0,1,0,pos
73,Andro 傷,1383085195050504192,#barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood https t co tsw vx ct esse lugar é a sua cara! use o ícone de coração no app pra salvar https t co qwy eomjps,2022-04-15 13:27:50+00:00,1,0,1,0,pos
74,o motomami virou piada minha parceira,23619589,#barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood https t co tsw vx ct esse lugar é a sua cara! use o ícone de coração no app pra salvar https t co t d dachrk,2022-04-15 13:27:36+00:00,1,0,1,0,pos
75,Rubens Mendonça,39542105,#barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood https t co tsw vx ct esse lugar é a sua cara! use o ícone de coração no app pra salvar https t co kuf zzouar,2022-04-15 13:27:23+00:00,1,0,1,0,pos
76,Monteiro 🐙,3304772625,rt @paulocilas @jeskagrecco uma pizza que pedi veio assim meu comentário no ifood foi o motoqueiro veio empinando a moto? porque a pizza…,2022-04-15 13:27:19+00:00,5,0,0,0,pos
77,🌞ito,1616809128,#barueri #alfavile #carapicuiba #itapevi #jandira #osasco #cotia #ifood https t co tsw weh esse lugar é a sua cara! use o ícone de coração no app pra salvar https t co yzsxtumvh,2022-04-15 13:27:12+00:00,1,0,1,0,pos
79,Donut Box Oficial,1511672281495486466,valentino rossi fez escola no ifood e zé delivery https t co r hihpd j,2022-04-15 13:25:46+00:00,0,2,1,0,pos
80,🧜🏽‍♀️ Tiny tim antipático,1001105599554351104,lembrando em maceió q a gente pediu uma metade marguerita metade brigadeiro aí o brigadeiro melou tudo a gente comeu de larica reclamou com o ifood eles estornaram e também reclamamos diretamente na pizzaria e eles mandaram outra… foi um dia de vitória https t co i it tpqvl,2022-04-15 13:25:00+00:00,0,0,2,0,pos
81,Conta,1456016594346315779,@jonasstelmann por isso a entrevista no ge direcionada pra que o ifood tente se levantar depois da entregada,2022-04-15 13:24:50+00:00,0,0,0,0,pos
82,O próprio Diabo,89999533,gente sério eu tenho vontade de pegar minha turma do ifood montar um time com todos eles e guardar todos em um potinho de tanto carinho que eu tenho por cada um deles!,2022-04-15 13:23:42+00:00,0,0,2,0,pos
83,a partida de jade,847248768806273025,hoje faço tao no ifood fé,2022-04-15 13:21:22+00:00,0,0,2,0,pos
84,Loki,634636352,@rafiszada se um dia eu pedir um ifood e o rafis vier entregar eu divido o lanche com ele fii,2022-04-15 13:20:38+00:00,0,0,1,0,pos
85,Chico 🔴⚫,3336014223,vaza do meu @flamengo seu ifood! https t co uasljgvcfl,2022-04-15 13:12:30+00:00,0,0,0,0,pos
86,jose orlando,4243120995,@eduardo_ifood @matheuscomunica entendo você mas a representatividade deles dizem muitos racismo tá aí e camuflado imagino o ódio dos racistas nazistas vendo essa cena,2022-04-15 13:12:08+00:00,0,0,0,0,pos
88,Eduardo Lacerda,159467990,eu só espero que tenha entrega no ifood hoje 😅,2022-04-15 13:10:08+00:00,0,0,1,0,pos
89,LUPINO ( ENCOMENDAS ABERTAS ),1433980815147470850,@diogo_oldskull @tx_hash @marvelbr @pedrinhodacruz_ @attwarley @skurtbrasil @calvet_arts @manol ma @dablio_art @pires_arts @phfreitas_art @dancoelhoarts @ifood @xetdoifood @nikebrasil muito obgd🙏,2022-04-15 13:09:11+00:00,0,0,1,0,pos
92,alícia #OrdemParanormal,842163934056579073,@the_jdraw @gabbatsart @jjsathler @sammycoruja @cryptideaddy @akkielart a spoiler do nome vendo a aniela hmmmm ifood chegou,2022-04-15 13:03:43+00:00,0,1,3,0,pos
93,tamires,1427811128390950918,na minha época foi reais no ifood de presente sdd https t co wqmhekvhbc,2022-04-15 13:03:10+00:00,0,0,0,0,pos
95,Alexandre Lula Salazar,59663832,"""sistema jagunço"" por que o ifood tenta esconder sua relação com empresas intermediárias ol https t co hquev yat",2022-04-15 13:02:39+00:00,0,0,0,0,pos
97,Rofaroel,780522747139067905,@thaliaabdon eu nunca consegui sempre ficava pegando ifood de tenho paciência pra juntar k nao,2022-04-15 13:01:46+00:00,0,0,1,0,pos
98,Lia Ben Dani,1062681649366876162,@rafam_pacheco @ifood @lunardispri vê esse aqui tbm!,2022-04-15 12:57:58+00:00,0,0,0,0,pos
99,Guilherme Rodrigues,1500843628780048386,ótima conversa com a ⁦@agenciapublica⁩ sobre a sabotagem criminosa do ifood contra seus trabalhadores precarizados https t co zys gxym p,2022-04-15 12:56:01+00:00,0,1,1,0,pos
100,◇♡Lelouch♤♧,1101521186914254848,@jameson @coorddy @menkoiikawaii @vitorsiqueirap @lulaoficial e taxista nao entra nessa mesma luta por recebimento de salario digno? quem nao quee se mistura com a uber e ifood sao eles,2022-04-15 12:55:30+00:00,0,2,0,0,pos
105,Líder Sindical Pokémon.,39813252,also pros devs ai felizões que o ifood deu macbook m proces? do motoboy eles cobram conto na bag seja fã ai de empresa seja,2022-04-15 12:51:33+00:00,0,0,1,0,pos
106,Srtª K  - A Ruiva da sorte!🍀,1469683332501970953,eu fui ver se tem promoção no ifood quando vejo as opções de endereço apareceu algumas do trabalho porém uma chamou atenção pois nunca fui na referida sala será algum sinal?,2022-04-15 12:50:28+00:00,0,1,4,0,pos
110,Thiago,1161056046145769477,@ifood como faço para obter meu ressarcimento?,2022-04-15 12:43:36+00:00,0,0,0,0,pos
113,Carlos Alberto,237405594,"@maurormf ele deve anunciar a inauguração de alguma nova filial da ""ifood pereira's"" na entrevista srn",2022-04-15 12:43:18+00:00,0,0,1,0,pos
115,cintoca,107499730,@febsoares não me surpreende pq outro dia no ifood tava reais uma dozeeee,2022-04-15 12:40:05+00:00,0,0,0,0,pos
117,🌬 FAIR 🌬,732017745869574145,é sobre não ter comprado as coisas de páscoa pra todo mundo e ter que pedir as da noite pelo ifood um na lugano,2022-04-15 12:39:03+00:00,0,0,1,0,pos
119,Jú,1366058120330563589,se for vdd me de uma @ifood,2022-04-15 12:37:19+00:00,0,0,0,0,pos
120,Camille,166001951,mano tem @skalacosmeticos no @ifood nunca fui triste!!!!!,2022-04-15 12:37:14+00:00,0,0,0,0,pos
122,Agostinho Talara,1286773301042458626,depois que descobri o gift card do ifood não consigo ser mais criativa nos presentes kkkkk,2022-04-15 12:33:09+00:00,0,0,0,0,pos
124,Evelin Santana,355240284,olha a mentira em do ifood 😂🤣😂,2022-04-15 12:31:22+00:00,0,0,0,0,pos
125,Aderlan🔴⚫🇧🇷,315416749,olha só essa promo do ifood! são r por mês por um ano pra pedir no app bora concorrer? https t co fjju h xrx,2022-04-15 12:29:59+00:00,0,0,0,0,pos
126,Lu,891494559540236289,@souflamengosrn @wendelsantos @pierre_moraes @cahemota @ericfaria @ivanraupp se valorize como flamenguista assim vc passa vergonha ser bajulador de jogador entregador @ifood,2022-04-15 12:26:59+00:00,0,0,2,0,pos
127,Rubro Negro,801421835774595072,fui pedir um bagulho pra comer no ifood e pedi pra casa do odivan 🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡 cuidado com a burra,2022-04-15 12:26:51+00:00,0,0,1,0,pos
128,Rafãoᶜʳᶠ ❤️🖤 BLOCK DE SEGUIR POR 3 DIAS!,1489348727177461767,@ge_fla vai trabalhar no ifood,2022-04-15 12:25:57+00:00,0,0,0,0,pos
130,🚩 Reiner 🚩 Ei Bolsonaro VTNC!!!,59109427,rt @agenciapublica falar de inimigos sem assinar entenda a estratégia que as agências benjamim comunicação e social qi sqi contratadas…,2022-04-15 12:23:21+00:00,10,0,0,0,pos
131,JURIDICANTIFA UAI SÔ,1343669505612984322,@austro_nomics @migue in @comunadememes kkkkkkkkkkkkkkkkkk é piada né? ninguém acredita nisso são trabalhadores sem carteira assinada pq pasmem o ifood não assina carteira que é uma forma de burlar os direitos trabalhistas,2022-04-15 12:22:53+00:00,0,1,0,0,pos
132,Cupom de desconto | ofertas,1379193374436163586,rt @agenciapublica 🎙️é amanhã às h! no novo episódio do pauta pública a repórter @clalevy_ revela os bastidores da reportagem que inve…,2022-04-15 12:22:46+00:00,6,0,0,0,pos
134,Abreu🚩🚩🚩,2229329138,rt @agenciapublica 🚨exclusivo investigamos como agências de publicidade contratadas pelo ifood criaram perfis falsos em redes sociais e i…,2022-04-15 12:20:34+00:00,6658,0,0,0,pos
135,"Prof drews, MA",135595009,rt @jailma_pb @lulaoficial verdade! não custa nada disponibilizar refeições a partir do meio dia e das h no restaurante em que o entre…,2022-04-15 12:20:01+00:00,1,0,0,0,pos
136,mimi,2294366635,cupom de desconto cornershop by uber faça suas compras de mercado sem sair de casa com as primeiras entregas grátis! se cadastre pelo nosso link e aproveite os descontos exclusivos! https t co xilq vvc #uber #ubereats #ifood #mercado #rappi https t co clgfaawzox,2022-04-15 12:17:44+00:00,0,0,0,0,pos
137,luli,1389251461733826568,@sihdney empresário entrando em jogo com essa notícia a desistência do flamengo em comprar o ifood mais coisas como essas serão vista daqui para a frente,2022-04-15 12:17:18+00:00,0,0,0,0,pos
139,Narcisista desleixado,506155963,rt @paulomorais @andreng @lulaoficial mas não dá pra comparar o dono de app como o ifood com o dono do posto alvorada ou da pastelaria…,2022-04-15 12:17:05+00:00,1,0,0,0,pos
140,Meirelles,397864263,@corneta_crf o entregador do @ifood tem muita competência! espero que o @marcosbrazrio não continue com sua saga de incompetente! se continuar não tenho como não crer em pix #foramarcosbraz https t co kclazxtqyx,2022-04-15 12:16:52+00:00,0,0,1,0,pos
141,Odilmar Júnior,150690876,há um lugar especial no inferno cheio de dor e sofrimento para os lojistas do @ifood que não informam detalhes importantes dos produtos que se propõem a vender como por exemplo quanto pesa o cookie quantos ml vem naquele copo de chocolate quente como avaliar se está caro?,2022-04-15 12:15:31+00:00,0,0,1,0,pos
142,Luciano Melo,1109894656626692099,rt @agenciapublica 🎙️no ar! o novo episódio do pauta pública é uma conversa sobre os bastidores da investigação que revelou como o ifood t…,2022-04-15 12:15:24+00:00,6,0,0,0,pos
145,rock bison⁷,940014788444327937,cupom de desconto 🛒🌿 amazon https t co sk ek eht ifood x md ul r riachuelo rchlo afl hering https t co nv dkwjg renner https t co mx pvdvxuf lojas americanas https t co qsiwkmhx w cea código de consultora ohmyshop amaro camilacamargos,2022-04-15 12:14:10+00:00,0,0,0,0,pos
149,e,2890922223,@ifood me ajuda aiiiii! tô com uma reclamação aberta desde domingo no chat do suporte e nada de me responderem ja fiz até reclamação no reclame aqui kkkk,2022-04-15 12:06:35+00:00,0,0,0,0,pos
150,Bruno,748172702570192896,"@austro_nomics @migue in @comunadememes no brasil também metade da população vive com insegurança alimentar milhões de pessoas trabalham pra empresas escravagistas como o uber e ifood somos de terceiro mundo não esqueça disso ""podem"" né? aí como eu adoro a liberdade teórica utilizada pelo capitalismo",2022-04-15 12:06:17+00:00,0,1,0,0,pos
151,pau mandado,1270206990669709312,sonhei q o @ifood inventava um tal de 'conta do patrocínio',2022-04-15 12:01:50+00:00,0,1,1,0,pos
153,capivara acaju ᶜʳᶠ,1468040870431641603,engraçado que a turma arma uma entrevista dessa logo após o flamengo anunciar que desistiu da compra do jogador ahhhh os bastidores do futebol foda se andreas seu lugar é trabalhando no @ifood pois você entrega bem sai fora do flamengo !!! https t co xlnot bopl,2022-04-15 11:57:25+00:00,0,0,1,0,pos
154,Abell,1258072620857163781,@enzovicenzo @mcdonalds_br @ifood atenção o @mcdonalds_br do caralho diretos do consumidor agora,2022-04-15 11:55:55+00:00,0,0,0,0,pos
159,Strong 🐷 Porco ECLIPSE SOLAR ☀️ 🏳️‍⚧️ pelo Robo!,1208499305541226503,pelo menos o ifood diz que me ama https t co tzpgem q l,2022-04-15 11:48:08+00:00,0,0,1,0,pos
162,Luiz Carlos da Silva,2804524087,@augustoinacio @lulaoficial ih será o ifood por trás?! kkkk,2022-04-15 11:40:13+00:00,0,0,0,0,pos
163,Agência Pública,310497473,rt @findome_nyx estou feliz e quero comemorar cadê os idiotas para bancarem o meu ifood? se humilhem na dm inúteis findom findomme humi…,2022-04-15 11:39:45+00:00,5,0,0,0,pos
164,🅰️nttonioArch 🇧🇷🗣️🎙️,1409443242849017865,@artur_bfr @sandrodvf @futtmais @geglobo andreas é o garoto propaganda do ifood craque nas entregas!!!,2022-04-15 11:33:45+00:00,0,0,1,0,pos
165,Promoções em @starbooksbr,1272335080070033408,lançaram entrevista com o pitico ifood é agora que a flateen rasga o ânus de pena do entregador,2022-04-15 11:33:41+00:00,0,0,0,0,pos
170,Paulo Morais,47037803,pauta pública agência pública como investigamos a propaganda do ifood webpage do episódio https t co txll hieg cc @revistapiaui @zerotoledo @fernandobarros @thais_bilenky,2022-04-15 11:11:20+00:00,0,0,0,0,pos
171,BEL_LULA️1️⃣3️⃣👩‍🦯🧏‍♀️PcD🚩,1198418340856958977,@augustoinacio @lulaoficial isso é um pau mandado do ifood para criar discórdia dêem block,2022-04-15 10:18:54+00:00,0,0,0,0,pos
172,Fada Insensata,24914482,já começamos os últimos trabalhos de páscoa há hrs! última chance de garantir ovos de colher! depois das de hoje só tradicionais e entrega via ifood rappi!,2022-04-15 10:17:52+00:00,0,0,1,0,pos
173,Ofertas e promoções,1283775113100513281,cupom de desconto 💰🛒 amazon https t co kyntrqqmom ifood x md ul r riachuelo rchlo afl hering https t co rpup djv u renner https t co lmnj ipep lojas americanas https t co utzswhijve cea código de consultora ohmyshop amaro camilacamargos,2022-04-15 10:16:43+00:00,0,0,0,0,pos
175,A Clarice,1498287650905731081,@jailma_pb @lulaoficial @ifood @uber_brasil enfim desculpe o desabafo vejo uma militância q idolatra erro número quem ama educa; quem cala consente se não exigirmos respostas e posicionamento dos políticos q escolhemos não estamos contribuindo de vdd com eles,2022-04-15 10:10:06+00:00,0,0,0,0,pos
176,Maria Jose Rego,204451381,entenda porque grandes grupos como amazon e ifood têm medo dos sindicatos https t co b b wmdb,2022-04-15 10:08:59+00:00,0,0,0,0,pos
177,Ligado_No_Fla✨🍞,1141040008901648385,é difícil você falar com @ifood 😕 https t co ssz htef,2022-04-15 10:08:31+00:00,0,0,0,0,pos
178,Sérgio Pessotti 1965,1271251271635349506,@jailma_pb @lulaoficial @ifood @uber_brasil neste caso apenas lembro q elite compõe grande parte da militância petista seja aqui seja em paris seja entre acadêmicos seja entre artistas e q independente de partido vem da elite muitas ações sociais e ajudas individuais falas como aquela são telhado de vidro p lula,2022-04-15 10:07:55+00:00,0,1,0,0,pos
184,Jannaí Corrêa,1054470329014337537,@mcdonalds_br vocês só precisam disponibilizar pra entrega no ifood,2022-04-15 09:28:19+00:00,0,0,0,0,pos
186,marina marruá,54056663,@lulaoficial pronto agora vai brigar com ifood,2022-04-15 09:24:14+00:00,0,0,0,0,pos
187,Dani 🏁|🌪️|🌩️|🦋|🤍,1495248961816379392,ifood não coopera com a fome da gente às da manhã 😒,2022-04-15 09:20:50+00:00,0,0,0,0,pos
188,OlaMundo,1362726051504390144,rt @cristianafc qual o sentido de a @ifood criar uma medida de segurança que propicia golpes? o código de confirmação que é sempre o mesm…,2022-04-15 09:10:56+00:00,6,0,0,0,pos
189,rosinha,992916535252602880,@cristianafc @ifood por isso eu não sou o número eu confirmo a entrega pelo meu app quando pego,2022-04-15 09:04:54+00:00,0,0,0,0,pos
190,everchanging chullachaqui,857298949794914304,rt @avocadxxx é muita história pra contar e hambúrguer pra provar melhor hamburgueria do rio a minha 😂 link pro instagram e ifood http…,2022-04-15 09:01:07+00:00,28,0,0,0,pos
191,jhenni,774327534880075776,ifood perseguição a trabalhadores novo aumento da inflação e sindicato amazon https t co zshbvbhph duração @julianefurno @galodeluta #economia #jornalismo #jufurno #videos #youtube a máquina oculta de propaganda do ifood … https t co cankyplpkx,2022-04-15 09:00:57+00:00,0,0,2,0,pos
196,Higor Santos*️⃣,1088447928371372038,ifood deve tá achando que todo mundo é rico nesse caralho mano fui pedir uma coca e deu com frete véi q porra é essa?????,2022-04-15 08:33:39+00:00,0,0,0,0,pos
199,Selma_Lula,127993834,@lulaoficial pronto quer desempregar os entregadores serviço esse junto com uber ifood ajudou muitas pessoas a sobreviver,2022-04-15 07:55:28+00:00,0,0,0,0,pos
201,Luiz com Z,17817208,isso aqui é putaria em @ifood https t co i afxhicd,2022-04-15 07:40:10+00:00,0,0,0,0,pos
204,sarão,4492295787,to morrendo de cólica tive que pedir um remédio pelo ifood,2022-04-15 07:25:23+00:00,0,0,0,0,pos
205,Vanessa,1240021971322241025,@camayuszka e essa hein https t co dznylpiwfu,2022-04-15 07:11:25+00:00,0,0,0,0,pos
206,Hene Chen 🐼,189885589,fiz todo o pedido no ifood p não aceitar pix 😭😭😭😭😭,2022-04-15 07:07:06+00:00,0,0,0,0,pos
207,Débora,1342700760,a fatura do meu cartão é reais de ifood quem aguenta,2022-04-15 06:57:14+00:00,0,0,0,0,pos
211,multiverso do luquinhas ✠,1446538103003430913,@tararuga me manda um ifood então,2022-04-15 06:28:33+00:00,0,0,0,0,pos
213,lara,4291120821,@tihhangelim @jovitorf_ @ifood amg nunca deu certo cmg então vivi na bolha esse tempo 🤡,2022-04-15 06:24:10+00:00,0,0,0,0,pos
214,merlingggg,1424365380886310916,comi esfiha ainda agora com meu irmão eu amo esses momentos com ele aleatórios onde ele pede comida no ifood de madrugada e assistimos cazé kkkkkkkk é tudo namoral,2022-04-15 06:23:32+00:00,0,0,1,0,pos
217,Juba,1283802318,@marisfilm @ifood caralho mané o motoboy papou seu lanche,2022-04-15 06:22:53+00:00,0,1,0,0,pos
218,Nitendo 🇧🇷🏴,778416288590884864,@ifood po ifood eu fiz meu pedido do lanche era da noite são da manhã e eu ainda não recebi ele https t co afxo hwsma,2022-04-15 06:19:53+00:00,0,1,0,0,pos
219,❧𝙨𝙖𝙨𝙖,1509291691605438472,rt @rutiellysexy entregador do ifood veio aqui em casa entregar a pizza ao me ver de calcinha fio dental ele não resistiu e botou no meu c…,2022-04-15 06:17:52+00:00,1556,0,0,0,pos
220,Ana Gabriela 🍞,68175660,muita saudade de pedir um ifood de combo de hamburguer com batata frita murcha,2022-04-15 06:14:34+00:00,0,0,2,0,pos
224,mototaximami,53971912,auge do meu dia ver a bebê do biel de coelhinha brincando de ifood e me chamando de bonita perdi tudoooo! 🥰🥰🥰,2022-04-15 05:57:12+00:00,0,0,0,0,pos
225,Dávison Souza,91615683,@th bir s @pedrosaoro @samuelcard_ há! aqui no mercado pelo ifood saí mais caro,2022-04-15 05:56:21+00:00,0,0,1,0,pos
226,Letícia Amleida Silva,1424895065743310848,@natsuhyuuga se quiser eu faço um ifood vidona,2022-04-15 05:55:46+00:00,0,1,0,0,pos
228,Dani 🌸,3484125623,cheia de fome e nada de bom no ifood 😫,2022-04-15 05:52:39+00:00,0,0,1,0,pos
229,O Poderoso Padrinho,1293591071222648834,pedi uma pizza no ifood mínimo ser boa,2022-04-15 05:48:21+00:00,0,0,0,0,pos
230,Le,2298302038,nenhum restaurante no ifood pra eu poder larica um xis que tristeza meu,2022-04-15 05:47:01+00:00,0,0,0,0,pos
231,Davi,804125491565359105,puxando uma novena pro restaurante não cancelar a pizza que pedi no ifood pois faminta,2022-04-15 05:46:23+00:00,0,1,3,0,pos
234,lice,1480465201703137280,foi pela promo no ifood gente tava e frente grátis,2022-04-15 05:37:32+00:00,0,0,1,0,pos
239,harry não potter,3437440954,@cristianafc cabe indenização hein o transtorno e a perda do tempo útil para solucionar o problema do qual a ifood confessa que foi culpada,2022-04-15 05:32:52+00:00,0,0,1,0,pos
241,raFAIL,84933503,eu tô quase chorando com essa demora do ifood,2022-04-15 05:26:32+00:00,0,0,0,0,pos
243,Gio,76797116,quero dormir e nada do entregador do ifood chegar😰,2022-04-15 05:22:27+00:00,0,0,1,0,pos
244,Virgilio Neto,718422219,rt @viizedek descobri que a casa búlgara entrega bureka pelo ifood meua migo vo chutar o balde,2022-04-15 05:21:09+00:00,1,0,0,0,pos
246,Ilario Neto,119918411,@kappa ifood é conivente sabe dos problemas mas tá pouco se fodendo,2022-04-15 05:15:02+00:00,0,1,1,0,pos
247,ju🌙,1076646524480835584,@ifood preciso de ajuda urgente,2022-04-15 05:14:41+00:00,0,0,0,0,pos
249,zeca,139292583,@jovitorf_ @ifood uai ao mesmo tempo??,2022-04-15 05:14:00+00:00,0,1,0,0,pos
250,Master Twink,1232136750954373120,@samyrhcp achei um bom no ifood,2022-04-15 05:13:37+00:00,0,0,1,0,pos
251,Jon Mrodrigues,1242609670637981697,rt @mrdansp o entregador do ifood entregou outra coisa 🍆 https t co mngwe chob,2022-04-15 05:13:19+00:00,5,0,0,0,pos
253,maconha 🥦,747676181021990914,pedi um ifood e esqueci de colocar o número do apto da minha amiga 😭😓,2022-04-15 05:08:18+00:00,0,0,0,0,pos
